,Correlation,Noise,Name,Length
242,0.598777906305329,0.1,Curve 24,Length 100
243,0.423470128187014,0.15,Curve 24,Length 100
244,0.4970775188469961,0.2,Curve 24,Length 100
250,0.445958848911103,smooth,Curve 25,Length 100
251,0.8282360690713526,0.05,Curve 25,Length 100
252,0.6515941288292342,0.1,Curve 25,Length 100
253,0.5417237505222238,0.15,Curve 25,Length 100
254,0.5574481569087216,0.2,Curve 25,Length 100
260,0.4731377881293906,smooth,Curve 26,Length 100
261,0.8476822644024579,0.05,Curve 26,Length 100
262,0.7457842582996801,0.1,Curve 26,Length 100
263,0.7215802542790095,0.15,Curve 26,Length 100
264,0.4100692604611445,0.2,Curve 26,Length 100
270,0.6063356198301662,smooth,Curve 27,Length 100
271,0.8823895460964808,0.05,Curve 27,Length 100
272,0.8764054335577286,0.1,Curve 27,Length 100
273,0.7173490375654791,0.15,Curve 27,Length 100
274,0.6398468602915376,0.2,Curve 27,Length 100
280,0.467526835375528,smooth,Curve 28,Length 100
281,0.7287215401451189,0.05,Curve 28,Length 100
282,0.6570422719241913,0.1,Curve 28,Length 100
283,0.5996954821066085,0.15,Curve 28,Length 100
284,0.334323627635387,0.2,Curve 28,Length 100
290,0.3563569870657259,smooth,Curve 29,Length 100
291,0.7784183909605346,0.05,Curve 29,Length 100
292,0.6398087426943251,0.1,Curve 29,Length 100
293,0.4403034751222069,0.15,Curve 29,Length 100
294,0.5230355191159741,0.2,Curve 29,Length 100
300,0.652475670248368,smooth,Curve 30,Length 100
301,0.8444869585539919,0.05,Curve 30,Length 100
302,0.7051522268576154,0.1,Curve 30,Length 100
303,0.5357255814311116,0.15,Curve 30,Length 100
304,0.4262844448864875,0.2,Curve 30,Length 100
310,0.5518775672997795,smooth,Curve 31,Length 100
311,0.6047894314266795,0.05,Curve 31,Length 100
312,0.5358683000293065,0.1,Curve 31,Length 100
313,0.5238369582395788,0.15,Curve 31,Length 100
314,0.4913972422339678,0.2,Curve 31,Length 100
320,0.5721583709796004,smooth,Curve 32,Length 100
321,0.7844012664632569,0.05,Curve 32,Length 100
322,0.6076121514415357,0.1,Curve 32,Length 100
323,0.5477369378045881,0.15,Curve 32,Length 100
324,0.544562206266419,0.2,Curve 32,Length 100
330,0.517294339057826,smooth,Curve 33,Length 100
331,0.6090794234787692,0.05,Curve 33,Length 100
332,0.5837785589370619,0.1,Curve 33,Length 100
333,0.6080773988477338,0.15,Curve 33,Length 100
334,0.3017969646707059,0.2,Curve 33,Length 100
340,0.5452284160495523,smooth,Curve 34,Length 100
341,0.8582790185590184,0.05,Curve 34,Length 100
342,0.6466573823955533,0.1,Curve 34,Length 100
343,0.6828903138757625,0.15,Curve 34,Length 100
344,0.537107231677727,0.2,Curve 34,Length 100
350,0.4944193469729125,smooth,Curve 35,Length 100
351,0.7405647327079699,0.05,Curve 35,Length 100
352,0.6106659703413475,0.1,Curve 35,Length 100
353,0.525237207084995,0.15,Curve 35,Length 100
354,0.4714398197334808,0.2,Curve 35,Length 100
360,0.7436566717849364,smooth,Curve 36,Length 100
361,0.760325438452335,0.05,Curve 36,Length 100
362,0.8358265455760712,0.1,Curve 36,Length 100
363,0.6683229203286809,0.15,Curve 36,Length 100
364,0.5174247301588355,0.2,Curve 36,Length 100
370,0.1348919976867129,smooth,Curve 37,Length 100
371,0.7946259315414391,0.05,Curve 37,Length 100
372,0.632630404858442,0.1,Curve 37,Length 100
373,0.6005214011053508,0.15,Curve 37,Length 100
374,0.475313202470034,0.2,Curve 37,Length 100
380,0.4419078034162802,smooth,Curve 38,Length 100
381,0.7299074624061206,0.05,Curve 38,Length 100
382,0.6067444383700021,0.1,Curve 38,Length 100
383,0.5562905122971499,0.15,Curve 38,Length 100
384,0.5916758459234168,0.2,Curve 38,Length 100
390,0.4068058652350128,smooth,Curve 39,Length 100
391,0.844491115853809,0.05,Curve 39,Length 100
392,0.5967606220485265,0.1,Curve 39,Length 100
393,0.594013199974547,0.15,Curve 39,Length 100
394,0.4230560306266004,0.2,Curve 39,Length 100
400,0.5179796759741814,smooth,Curve 40,Length 100
401,0.8090255017340432,0.05,Curve 40,Length 100
402,0.7981209588130639,0.1,Curve 40,Length 100
403,0.6138889911914746,0.15,Curve 40,Length 100
404,0.4285991543616231,0.2,Curve 40,Length 100
410,0.5087193648257619,smooth,Curve 41,Length 100
