,Name,AMI score,Length,Noise
113,Curve 113,0.609936492601949,Length 100,Smooth
114,Curve 114,0.5153744243243708,Length 100,Smooth
115,Curve 115,0.394951444997389,Length 100,Smooth
116,Curve 116,0.6826653506273799,Length 100,Smooth
117,Curve 117,0.5989080015615776,Length 100,Smooth
118,Curve 118,0.4644499438025179,Length 100,Smooth
119,Curve 119,0.4971810959325229,Length 100,Smooth
120,Curve 120,0.2712654714463822,Length 100,Smooth
121,Curve 121,0.39181820114623933,Length 100,Smooth
122,Curve 122,0.63473075632995,Length 100,Smooth
123,Curve 123,0.6066389599383974,Length 100,Smooth
124,Curve 124,0.4019575873530478,Length 100,Smooth
125,Curve 125,0.3194677839676456,Length 100,Smooth
126,Curve 126,0.378997818094886,Length 100,Smooth
127,Curve 127,0.5060778152523822,Length 100,Smooth
128,Curve 128,0.3075379114857215,Length 100,Smooth
129,Curve 129,0.5493424952890728,Length 100,Smooth
130,Curve 130,0.22894523764518407,Length 100,Smooth
131,Curve 131,0.45938298419622836,Length 100,Smooth
132,Curve 132,0.5335917314118476,Length 100,Smooth
133,Curve 133,0.6766543864263099,Length 100,Smooth
134,Curve 134,0.5833710725117157,Length 100,Smooth
135,Curve 135,0.5282358665179587,Length 100,Smooth
136,Curve 136,0.31472430219706704,Length 100,Smooth
137,Curve 137,0.3870247672123221,Length 100,Smooth
138,Curve 138,0.3929680559345279,Length 100,Smooth
139,Curve 139,0.4066295418859581,Length 100,Smooth
140,Curve 140,0.3317230595630083,Length 100,Smooth
141,Curve 141,0.6445306276612053,Length 100,Smooth
142,Curve 142,0.6995459393704987,Length 100,Smooth
143,Curve 143,0.3612374877203442,Length 100,Smooth
144,Curve 144,0.47644981117239427,Length 100,Smooth
145,Curve 145,0.5417365304377347,Length 100,Smooth
146,Curve 146,0.4281476786424348,Length 100,Smooth
147,Curve 147,0.3225368884316026,Length 100,Smooth
148,Curve 148,0.5569258556144516,Length 100,Smooth
149,Curve 149,0.6594276333286715,Length 100,Smooth
150,Curve 150,0.6416002981812,Length 100,Smooth
151,Curve 151,0.7870657614829384,Length 100,Smooth
152,Curve 152,0.2960972828594316,Length 100,Smooth
153,Curve 153,0.5568420549697196,Length 100,Smooth
154,Curve 154,0.2823482043096591,Length 100,Smooth
155,Curve 155,0.669799771918261,Length 100,Smooth
156,Curve 156,0.4633643503593063,Length 100,Smooth
157,Curve 157,0.48702587283225535,Length 100,Smooth
158,Curve 158,0.2992056469883795,Length 100,Smooth
159,Curve 159,0.4265790173911865,Length 100,Smooth
160,Curve 160,0.527573088006571,Length 100,Smooth
161,Curve 161,0.46942652507104526,Length 100,Smooth
162,Curve 162,0.5142806855217229,Length 100,Smooth
163,Curve 163,0.7064676993635046,Length 100,Smooth
164,Curve 164,0.7037129278736847,Length 100,Smooth
165,Curve 165,0.6096984965833773,Length 100,Smooth
166,Curve 166,0.43147019569886075,Length 100,Smooth
167,Curve 167,0.6858504169882461,Length 100,Smooth
168,Curve 168,0.5482656812065603,Length 100,Smooth
169,Curve 169,0.4847706313982824,Length 100,Smooth
170,Curve 170,0.6860155573522582,Length 100,Smooth
171,Curve 171,0.23169383798148196,Length 100,Smooth
172,Curve 172,0.3792630961239652,Length 100,Smooth
173,Curve 173,0.7163954386200875,Length 100,Smooth
174,Curve 174,0.5812760698451055,Length 100,Smooth
175,Curve 175,0.37883256893950895,Length 100,Smooth
176,Curve 176,0.41938974688621283,Length 100,Smooth
177,Curve 177,0.44788818856960855,Length 100,Smooth
178,Curve 178,0.5612570857407251,Length 100,Smooth
179,Curve 179,0.6035431142543299,Length 100,Smooth
180,Curve 180,0.5276591117156665,Length 100,Smooth
181,Curve 181,0.31653411829688655,Length 100,Smooth
182,Curve 182,0.5441306378046723,Length 100,Smooth
183,Curve 183,0.47649596945061473,Length 100,Smooth
184,Curve 184,0.35678976875111246,Length 100,Smooth
185,Curve 185,0.2778846998376779,Length 100,Smooth
186,Curve 186,0.5038425213107574,Length 100,Smooth
187,Curve 187,0.494076133936632,Length 100,Smooth
188,Curve 188,0.4853315733767489,Length 100,Smooth
189,Curve 189,0.7978323569904682,Length 100,Smooth
190,Curve 190,0.7201298727962583,Length 100,Smooth
191,Curve 191,0.44777198285361464,Length 100,Smooth
192,Curve 192,0.7023654558121933,Length 100,Smooth
193,Curve 193,0.4691637788262106,Length 100,Smooth
194,Curve 194,0.48980881967729045,Length 100,Smooth
195,Curve 195,0.481179744790282,Length 100,Smooth
196,Curve 196,0.4992435552047593,Length 100,Smooth
197,Curve 197,0.4195137449172347,Length 100,Smooth
198,Curve 198,0.43505278367351485,Length 100,Smooth
199,Curve 199,0.32154150203708276,Length 100,Smooth
0,Curve 0,0.5708909515161799,Length 200,Smooth
1,Curve 1,0.5391381209776859,Length 200,Smooth
2,Curve 2,0.5420835303697664,Length 200,Smooth
3,Curve 3,0.5452600877676002,Length 200,Smooth
4,Curve 4,0.6115171487824711,Length 200,Smooth
5,Curve 5,0.46505487023237213,Length 200,Smooth
6,Curve 6,0.4767598566049395,Length 200,Smooth
7,Curve 7,0.45065394852912094,Length 200,Smooth
8,Curve 8,0.6685850608306809,Length 200,Smooth
9,Curve 9,0.45414920976452483,Length 200,Smooth
10,Curve 10,0.5990302875317783,Length 200,Smooth
11,Curve 11,0.5729634786954148,Length 200,Smooth
12,Curve 12,0.6379624520737226,Length 200,Smooth
13,Curve 13,0.5320519973643072,Length 200,Smooth
14,Curve 14,0.6107475478306655,Length 200,Smooth
15,Curve 15,0.6048553371171824,Length 200,Smooth
16,Curve 16,0.4657328785987089,Length 200,Smooth
17,Curve 17,0.5674267422611492,Length 200,Smooth
18,Curve 18,0.5526851123516063,Length 200,Smooth
19,Curve 19,0.7377472133371453,Length 200,Smooth
20,Curve 20,0.48912411610471934,Length 200,Smooth
21,Curve 21,0.4412661226679764,Length 200,Smooth
22,Curve 22,0.5171720103290101,Length 200,Smooth
23,Curve 23,0.6335047641889436,Length 200,Smooth
24,Curve 24,0.5191728621525122,Length 200,Smooth
25,Curve 25,0.6777118985972289,Length 200,Smooth
26,Curve 26,0.5146239036266512,Length 200,Smooth
27,Curve 27,0.5775667180022122,Length 200,Smooth
28,Curve 28,0.7121300628278746,Length 200,Smooth
29,Curve 29,0.6106722528894541,Length 200,Smooth
30,Curve 30,0.5763385361150506,Length 200,Smooth
31,Curve 31,0.5408331576877964,Length 200,Smooth
32,Curve 32,0.5690986213679808,Length 200,Smooth
33,Curve 33,0.5428347966779471,Length 200,Smooth
34,Curve 34,0.5611687514032379,Length 200,Smooth
35,Curve 35,0.2156606591600315,Length 200,Smooth
36,Curve 36,0.44628377281709286,Length 200,Smooth
37,Curve 37,0.58906220210987,Length 200,Smooth
38,Curve 38,0.6435282690413207,Length 200,Smooth
39,Curve 39,0.5445243146299943,Length 200,Smooth
40,Curve 40,0.4448682139098984,Length 200,Smooth
41,Curve 41,0.6352832049067866,Length 200,Smooth
42,Curve 42,0.5503154942392349,Length 200,Smooth
43,Curve 43,0.5943360932836224,Length 200,Smooth
44,Curve 44,0.49473644039004916,Length 200,Smooth
