,Name,AMI score,Length
0,Curve 0,0.7685661945783377,Length 100
1,Curve 1,0.5053441418167016,Length 100
2,Curve 2,0.5511080822160795,Length 100
3,Curve 3,0.7915722985140542,Length 100
4,Curve 4,0.6070541511783037,Length 100
5,Curve 5,0.3857999837570015,Length 100
6,Curve 6,0.6450225455031459,Length 100
7,Curve 7,0.8595911454417486,Length 100
8,Curve 8,0.5782486386054575,Length 100
9,Curve 9,0.6854325095673137,Length 100
10,Curve 10,0.39736988235882603,Length 100
11,Curve 11,0.4941921964905013,Length 100
12,Curve 12,0.49476611651842595,Length 100
13,Curve 13,0.891072399845083,Length 100
14,Curve 14,0.7727380779213969,Length 100
15,Curve 15,0.40274052755033124,Length 100
16,Curve 16,0.5675084358727901,Length 100
17,Curve 17,0.5880489947598592,Length 100
18,Curve 18,0.4497669003181295,Length 100
19,Curve 19,0.621413775408823,Length 100
20,Curve 20,0.7924835319748085,Length 100
21,Curve 21,0.6908344031513342,Length 100
22,Curve 22,0.6705572259481823,Length 100
23,Curve 23,0.6086185032267776,Length 100
24,Curve 24,0.7401890403690702,Length 100
25,Curve 25,0.4997930163486712,Length 100
26,Curve 26,0.6799641414182329,Length 100
27,Curve 27,0.7389484356594453,Length 100
28,Curve 28,0.6066684887470866,Length 100
29,Curve 29,0.7058442893061111,Length 100
30,Curve 30,0.5775333155489859,Length 100
31,Curve 31,0.3785608131506741,Length 100
32,Curve 32,0.6192496787073285,Length 100
33,Curve 33,0.5846339277357969,Length 100
34,Curve 34,0.5181873884098062,Length 100
35,Curve 35,0.6622136342478727,Length 100
36,Curve 36,0.6326482783106642,Length 100
37,Curve 37,0.5375657658472296,Length 100
38,Curve 38,0.7007361505737598,Length 100
39,Curve 39,0.5967025678724568,Length 100
40,Curve 40,0.6371066879984362,Length 100
41,Curve 41,0.5671275218238847,Length 100
42,Curve 42,0.7598055563702472,Length 100
43,Curve 43,0.2834463865437945,Length 100
44,Curve 44,0.44309582507868567,Length 100
45,Curve 45,0.7377727254330219,Length 100
46,Curve 46,0.5663276231142242,Length 100
47,Curve 47,0.47903783452691906,Length 100
48,Curve 48,0.4512373123962155,Length 100
49,Curve 49,0.5524307022897263,Length 100
50,Curve 50,0.6731457727244874,Length 100
51,Curve 51,0.7725394916007382,Length 100
52,Curve 52,0.5310119198040234,Length 100
53,Curve 53,0.6902688269455983,Length 100
54,Curve 54,0.5397411345910256,Length 100
55,Curve 55,0.5296477231787607,Length 100
56,Curve 56,0.743559463487019,Length 100
57,Curve 57,0.6823416862730333,Length 100
58,Curve 58,0.6803960805382387,Length 100
59,Curve 59,0.5209544993287943,Length 100
60,Curve 60,0.7652317693731578,Length 100
61,Curve 61,0.8466082998420468,Length 100
62,Curve 62,0.6822827586252812,Length 100
63,Curve 63,0.8182078730984697,Length 100
64,Curve 64,0.6522602094462234,Length 100
65,Curve 65,0.5567765399432082,Length 100
