,Correlation,Name,Length
254,0.6880488729370638,Curve 127,Length 100
256,0.7371908448203413,Curve 128,Length 100
258,0.7931362272847284,Curve 129,Length 100
260,0.6351306134981624,Curve 130,Length 100
262,0.8186605607749399,Curve 131,Length 100
264,0.6431075353257157,Curve 132,Length 100
266,0.5499791435941778,Curve 133,Length 100
268,0.7930380176393048,Curve 134,Length 100
270,0.7136626538800227,Curve 135,Length 100
272,0.4832264665505628,Curve 136,Length 100
274,0.6414606312525005,Curve 137,Length 100
276,0.7104352056338485,Curve 138,Length 100
278,0.6097470956294395,Curve 139,Length 100
280,0.6222177261672318,Curve 140,Length 100
282,0.7694805394880784,Curve 141,Length 100
284,0.7967893147251001,Curve 142,Length 100
286,0.7999432694625894,Curve 143,Length 100
288,0.7305912787656632,Curve 144,Length 100
290,0.6692487120940083,Curve 145,Length 100
292,0.5132953837303365,Curve 146,Length 100
294,0.7752022717632306,Curve 147,Length 100
296,0.5683843727679223,Curve 148,Length 100
298,0.5943942897347531,Curve 149,Length 100
300,0.7470198534770072,Curve 150,Length 100
302,0.5950940208310908,Curve 151,Length 100
304,0.6429917073552099,Curve 152,Length 100
306,0.6855682326222224,Curve 153,Length 100
308,0.4558661524887294,Curve 154,Length 100
310,0.8514336061402595,Curve 155,Length 100
312,0.8638901916699091,Curve 156,Length 100
314,0.6629132096153889,Curve 157,Length 100
316,0.5848376000200233,Curve 158,Length 100
318,0.5652382780938702,Curve 159,Length 100
320,0.844517087210503,Curve 160,Length 100
322,0.5358770897989981,Curve 161,Length 100
324,0.8102473433357396,Curve 162,Length 100
326,0.8161499004888866,Curve 163,Length 100
328,0.7859250671643094,Curve 164,Length 100
330,0.6261058527931781,Curve 165,Length 100
332,0.8041764813199497,Curve 166,Length 100
334,0.785626702778013,Curve 167,Length 100
336,0.6139592414711947,Curve 168,Length 100
338,0.6896998753755462,Curve 169,Length 100
340,0.8064357305529591,Curve 170,Length 100
342,0.3258317509303012,Curve 171,Length 100
344,0.7854719343129931,Curve 172,Length 100
346,0.5758103289431702,Curve 173,Length 100
348,0.6124797820574939,Curve 174,Length 100
350,0.6675448782304695,Curve 175,Length 100
352,0.7104403357282805,Curve 176,Length 100
354,0.7911447629558136,Curve 177,Length 100
356,0.8532757109329633,Curve 178,Length 100
358,0.8175113752642187,Curve 179,Length 100
360,0.8722729081195885,Curve 180,Length 100
362,0.7081289619415871,Curve 181,Length 100
364,0.678162476572509,Curve 182,Length 100
366,0.7042573877190431,Curve 183,Length 100
368,0.4077302450251938,Curve 184,Length 100
370,0.8331856994829749,Curve 185,Length 100
372,0.6737789747109735,Curve 186,Length 100
374,0.7212790740796614,Curve 187,Length 100
376,0.7615063722625756,Curve 188,Length 100
378,0.7893413464981331,Curve 189,Length 100
380,0.7311844896323312,Curve 190,Length 100
382,0.7774187134619166,Curve 191,Length 100
384,0.5863011336348781,Curve 192,Length 100
386,0.5507441107514714,Curve 193,Length 100
388,0.4865141526488278,Curve 194,Length 100
390,0.745103692761634,Curve 195,Length 100
392,0.6614647379308807,Curve 196,Length 100
394,0.7291439710348797,Curve 197,Length 100
396,0.5960516265443532,Curve 198,Length 100
398,0.7815704869771282,Curve 199,Length 100
400,0.641119058912143,Curve 0,Length 200
402,0.7599600137478508,Curve 1,Length 200
404,0.4087772015411774,Curve 2,Length 200
406,0.7895482457406998,Curve 3,Length 200
408,0.6060165029513053,Curve 4,Length 200
410,0.5965152494302787,Curve 5,Length 200
412,0.6907642910870937,Curve 6,Length 200
414,0.708180674282434,Curve 7,Length 200
416,0.5442730961255312,Curve 8,Length 200
418,0.4641711798611507,Curve 9,Length 200
420,0.6941267739340841,Curve 10,Length 200
422,0.6169936436524674,Curve 11,Length 200
424,0.7353390075773045,Curve 12,Length 200
426,0.6881741947567733,Curve 13,Length 200
428,0.7694902124252372,Curve 14,Length 200
430,0.2601269049638021,Curve 15,Length 200
432,0.5400323737735391,Curve 16,Length 200
434,0.7060593476666422,Curve 17,Length 200
436,0.6413973257059112,Curve 18,Length 200
438,0.7209780921530647,Curve 19,Length 200
440,0.7271154133562524,Curve 20,Length 200
442,0.6233958778453978,Curve 21,Length 200
444,0.7400372426386287,Curve 22,Length 200
446,0.6163932097966442,Curve 23,Length 200
448,0.762183766412412,Curve 24,Length 200
450,0.7027094821771761,Curve 25,Length 200
452,0.751190691290197,Curve 26,Length 200
454,0.724680380809618,Curve 27,Length 200
456,0.8559110591295155,Curve 28,Length 200
458,0.6231094055986505,Curve 29,Length 200
460,0.6738066650171992,Curve 30,Length 200
462,0.6752129939461519,Curve 31,Length 200
464,0.6588748983788504,Curve 32,Length 200
466,0.4935975237715475,Curve 33,Length 200
468,0.8115557228414745,Curve 34,Length 200
470,0.7040936502563487,Curve 35,Length 200
472,0.6666789263660088,Curve 36,Length 200
474,0.6216660545956715,Curve 37,Length 200
476,0.6560882976225839,Curve 38,Length 200
478,0.6302458501600138,Curve 39,Length 200
480,0.5026901289514722,Curve 40,Length 200
482,0.6684472647532629,Curve 41,Length 200
484,0.7301617867913293,Curve 42,Length 200
486,0.6912726662442329,Curve 43,Length 200
488,0.5795549382863043,Curve 44,Length 200
490,0.3839914158463423,Curve 45,Length 200
492,0.6774667960519947,Curve 46,Length 200
494,0.8197832340301606,Curve 47,Length 200
496,0.5672741447806817,Curve 48,Length 200
498,0.7556100257366682,Curve 49,Length 200
500,0.6833971659206577,Curve 50,Length 200
502,0.6342865599540835,Curve 51,Length 200
504,0.6486363294677873,Curve 52,Length 200
506,0.4980775498370794,Curve 53,Length 200
508,0.8216698710047543,Curve 54,Length 200
510,0.6257227248430921,Curve 55,Length 200
512,0.6321942981372306,Curve 56,Length 200
514,0.567705373604236,Curve 57,Length 200
516,0.4358346720876832,Curve 58,Length 200
518,0.7633006494799466,Curve 59,Length 200
520,0.7823763747274713,Curve 60,Length 200
522,0.668999144588267,Curve 61,Length 200
524,0.7726265440343282,Curve 62,Length 200
526,0.5630671973453811,Curve 63,Length 200
528,0.8493808145222218,Curve 64,Length 200
530,0.6260668582867469,Curve 65,Length 200
532,0.721859129831027,Curve 66,Length 200
534,0.6467434634964732,Curve 67,Length 200
536,0.4169283203127027,Curve 68,Length 200
538,0.6560007159239513,Curve 69,Length 200
540,0.6799047766882318,Curve 70,Length 200
542,0.5279722950877682,Curve 71,Length 200
544,0.5443490126819714,Curve 72,Length 200
546,0.7838974114700235,Curve 73,Length 200
548,0.6530202487305564,Curve 74,Length 200
550,0.6126162678906383,Curve 75,Length 200
552,0.6536170348129712,Curve 76,Length 200
554,0.7235519049976775,Curve 77,Length 200
556,0.5826468958334028,Curve 78,Length 200
558,0.6476038163787812,Curve 79,Length 200
560,0.6772784102932682,Curve 80,Length 200
562,0.7331819476725936,Curve 81,Length 200
564,0.6130233923678747,Curve 82,Length 200
566,0.7365198055070318,Curve 83,Length 200
568,0.5449389654337554,Curve 84,Length 200
570,0.5472995700037643,Curve 85,Length 200
572,0.6312621109783714,Curve 86,Length 200
574,0.579012194147092,Curve 87,Length 200
576,0.3795299675915978,Curve 88,Length 200
578,0.7109483541685863,Curve 89,Length 200
580,0.7052011705479738,Curve 90,Length 200
582,0.690429444699747,Curve 91,Length 200
584,0.5985775432832786,Curve 92,Length 200
586,0.4788703849618207,Curve 93,Length 200
588,0.7698372489220532,Curve 94,Length 200
590,0.6520106176275553,Curve 95,Length 200
592,0.6986816014056471,Curve 96,Length 200
594,0.737707004578645,Curve 97,Length 200
596,0.6525165429311897,Curve 98,Length 200
598,0.6921635688884378,Curve 99,Length 200
600,0.5867096420098072,Curve 100,Length 200
602,0.4958850617339229,Curve 101,Length 200
604,0.6636949807003341,Curve 102,Length 200
606,0.7814504228617969,Curve 103,Length 200
608,0.439739021983661,Curve 104,Length 200
610,0.7464029326315301,Curve 105,Length 200
612,0.7992093979797118,Curve 106,Length 200
614,0.6802461980324381,Curve 107,Length 200
616,0.563982440575999,Curve 108,Length 200
618,0.4464003369354945,Curve 109,Length 200
620,0.8386036960131048,Curve 110,Length 200
622,0.8052153970649305,Curve 111,Length 200
624,0.7410332329609511,Curve 112,Length 200
626,0.633038464122344,Curve 113,Length 200
628,0.6296475937895119,Curve 114,Length 200
630,0.6726064459191942,Curve 115,Length 200
632,0.575265582412108,Curve 116,Length 200
634,0.3100396707158849,Curve 117,Length 200
636,0.5650014810672198,Curve 118,Length 200
638,0.7368535103322283,Curve 119,Length 200
640,0.6113091562152239,Curve 120,Length 200
642,0.6082456220167236,Curve 121,Length 200
644,0.7673343308546795,Curve 122,Length 200
646,0.6830412648621164,Curve 123,Length 200
648,0.6637600348269178,Curve 124,Length 200
650,0.7627041284071487,Curve 125,Length 200
652,0.6483350140563566,Curve 126,Length 200
654,0.7692471315031496,Curve 127,Length 200
656,0.754043782304781,Curve 128,Length 200
658,0.69416079718166,Curve 129,Length 200
660,0.8252745558106609,Curve 130,Length 200
662,0.2517207258339172,Curve 131,Length 200
664,0.3852531215816502,Curve 132,Length 200
666,0.6348391770945702,Curve 133,Length 200
668,0.8018579646212238,Curve 134,Length 200
670,0.5796279203511346,Curve 135,Length 200
672,0.7963919779223573,Curve 136,Length 200
674,0.7728196152828193,Curve 137,Length 200
676,0.6281121553707706,Curve 138,Length 200
678,0.6938599011170148,Curve 139,Length 200
680,0.5494694224102143,Curve 140,Length 200
682,0.6932399808037308,Curve 141,Length 200
684,0.6115567814072791,Curve 142,Length 200
686,0.7571631195314591,Curve 143,Length 200
688,0.548450833220649,Curve 144,Length 200
690,0.819403660941947,Curve 145,Length 200
692,0.4637100784941688,Curve 146,Length 200
694,0.7399790977996398,Curve 147,Length 200
696,0.4667694797259342,Curve 148,Length 200
698,0.5837660175479192,Curve 149,Length 200
700,0.579665564880121,Curve 150,Length 200
702,0.7364125161979737,Curve 151,Length 200
704,0.75568746494667,Curve 152,Length 200
706,0.6840824622558478,Curve 153,Length 200
708,0.4869963002435236,Curve 154,Length 200
710,0.5946915018563534,Curve 155,Length 200
712,0.684528273579939,Curve 156,Length 200
714,0.6836815854359458,Curve 157,Length 200
716,0.5875363297155184,Curve 158,Length 200
718,0.5584372838914706,Curve 159,Length 200
720,0.6748504175465835,Curve 160,Length 200
722,0.814237272783843,Curve 161,Length 200
724,0.6199076208816491,Curve 162,Length 200
726,0.5377602912749649,Curve 163,Length 200
728,0.7254611358266727,Curve 164,Length 200
730,0.7576005874928737,Curve 165,Length 200
732,0.7041002899536849,Curve 166,Length 200
