,Name,Correlation with ROG,Correlation with pairwise distances,Correlation between ROG and pairwise distances,Length
0,Curve 0,-0.3659143138602881,-0.3444436797725587,0.9474806371771063,Length 100
1,Curve 1,-0.4773301082598637,-0.43523603387500664,0.8233855068572717,Length 100
2,Curve 2,-0.39646833365918227,-0.39051412775512084,0.8680335309812868,Length 100
3,Curve 3,-0.5053766311768543,-0.5002174347840265,0.8984911180793694,Length 100
4,Curve 4,-0.4114973055480588,-0.37654127190078357,0.9341285213388774,Length 100
5,Curve 5,-0.5790167955559181,-0.569592470856315,0.8769636804766434,Length 100
6,Curve 6,-0.5131692950023871,-0.5180192550071915,0.9527960396781272,Length 100
7,Curve 7,-0.4830357676711534,-0.5061878017786837,0.9509102856593493,Length 100
8,Curve 8,-0.4369454031234836,-0.45810834992896726,0.9039080470120512,Length 100
9,Curve 9,-0.46371494471315694,-0.44957506720013934,0.8753237286405192,Length 100
10,Curve 10,-0.26685078178914384,-0.4187001975102105,0.5596380846593235,Length 100
11,Curve 11,-0.3858029375401874,-0.4646012377559756,0.6662461042796175,Length 100
12,Curve 12,-0.3680140414545408,-0.4557802138470464,0.7274569388252763,Length 100
13,Curve 13,-0.39945158663310076,-0.4277622191869162,0.9705241885890383,Length 100
14,Curve 14,-0.38680511888602453,-0.418111794399086,0.9324686394283364,Length 100
15,Curve 15,-0.40530916639112186,-0.39182940775907293,0.7276786243977001,Length 100
16,Curve 16,-0.44422854979231174,-0.44570564058007434,0.8420496058931024,Length 100
17,Curve 17,-0.3557570514650242,-0.43051181200617217,0.6177270704276261,Length 100
18,Curve 18,-0.5131916759159798,-0.5038119652013975,0.7633373268262542,Length 100
19,Curve 19,-0.40019964949203607,-0.461275530906282,0.636749672666361,Length 100
20,Curve 20,-0.5612589094359621,-0.5446153667308681,0.7855500387451771,Length 100
21,Curve 21,-0.49559480135802547,-0.43647420784476526,0.8883490416269783,Length 100
22,Curve 22,-0.497776040784292,-0.4358203575299188,0.9293799559624528,Length 100
23,Curve 23,-0.37489246301109325,-0.3536286735794264,0.696606026976064,Length 100
24,Curve 24,-0.5219040792507796,-0.46130064916715263,0.8156124359818058,Length 100
25,Curve 25,-0.3525443013499419,-0.344071757407423,0.8672425360074784,Length 100
26,Curve 26,-0.4793720500263667,-0.5015839603686699,0.9648414513917811,Length 100
27,Curve 27,-0.396440893280753,-0.43438608335311385,0.9456661192730154,Length 100
28,Curve 28,-0.37136480910064157,-0.333388359160902,0.9034344133173231,Length 100
29,Curve 29,-0.5049911086519091,-0.49343241888560996,0.8979874097722038,Length 100
30,Curve 30,-0.45815681282524634,-0.48262780018517215,0.7113236536215747,Length 100
31,Curve 31,-0.24794564382027415,-0.2140011599834361,0.7228475918258516,Length 100
32,Curve 32,-0.4198160404965573,-0.4189139077430895,0.7098338873600615,Length 100
33,Curve 33,-0.5380065036283292,-0.501822131082076,0.8577086814383711,Length 100
