,Correlation,Noise,Name,Length
0,0.3983299508620418,Smooth,Curve 0,Length 100
1,0.8819441020367781,GN with sigma 0.05,Curve 0,Length 100
2,0.3852339264311608,GN with sigma 0.1,Curve 0,Length 100
3,0.3572227905175386,GN with sigma 0.15,Curve 0,Length 100
4,0.1236593257790379,GN with sigma 0.2,Curve 0,Length 100
5,0.5802644409785936,Smooth,Curve 1,Length 100
6,0.7123544237189349,GN with sigma 0.05,Curve 1,Length 100
7,0.5967724484791878,GN with sigma 0.1,Curve 1,Length 100
8,0.7115379561501537,GN with sigma 0.15,Curve 1,Length 100
9,0.5702978125286038,GN with sigma 0.2,Curve 1,Length 100
10,0.6467433402670368,Smooth,Curve 2,Length 100
11,0.7565446698809404,GN with sigma 0.05,Curve 2,Length 100
12,0.4792291398609721,GN with sigma 0.1,Curve 2,Length 100
13,0.4127210643130706,GN with sigma 0.15,Curve 2,Length 100
14,0.6451722669996416,GN with sigma 0.2,Curve 2,Length 100
15,0.5391027703828477,Smooth,Curve 3,Length 100
16,0.7743374597137179,GN with sigma 0.05,Curve 3,Length 100
17,0.7857495642765707,GN with sigma 0.1,Curve 3,Length 100
18,0.5005278604303006,GN with sigma 0.15,Curve 3,Length 100
19,0.4862953723844039,GN with sigma 0.2,Curve 3,Length 100
20,0.4323163394407883,Smooth,Curve 4,Length 100
21,0.803912174697305,GN with sigma 0.05,Curve 4,Length 100
22,0.6767190310133242,GN with sigma 0.1,Curve 4,Length 100
23,0.5019939673656717,GN with sigma 0.15,Curve 4,Length 100
24,0.4891995763853548,GN with sigma 0.2,Curve 4,Length 100
25,0.6909858591244662,Smooth,Curve 5,Length 100
26,0.8456014752941227,GN with sigma 0.05,Curve 5,Length 100
27,0.7702857585714289,GN with sigma 0.1,Curve 5,Length 100
28,0.5072727647865607,GN with sigma 0.15,Curve 5,Length 100
29,0.6234653607812153,GN with sigma 0.2,Curve 5,Length 100
30,0.4244666185364134,Smooth,Curve 6,Length 100
31,0.5012425495154879,GN with sigma 0.05,Curve 6,Length 100
32,0.7288582505467616,GN with sigma 0.1,Curve 6,Length 100
33,0.6814362158133945,GN with sigma 0.15,Curve 6,Length 100
34,0.6197285279250295,GN with sigma 0.2,Curve 6,Length 100
35,0.5376505396434826,Smooth,Curve 7,Length 100
36,0.8490055852496295,GN with sigma 0.05,Curve 7,Length 100
37,0.8142242663612201,GN with sigma 0.1,Curve 7,Length 100
38,0.4277161068043316,GN with sigma 0.15,Curve 7,Length 100
39,0.5343508033334909,GN with sigma 0.2,Curve 7,Length 100
40,0.5251072844451561,Smooth,Curve 8,Length 100
41,0.8392677057682273,GN with sigma 0.05,Curve 8,Length 100
42,0.6637726361156474,GN with sigma 0.1,Curve 8,Length 100
43,0.4909762848279521,GN with sigma 0.15,Curve 8,Length 100
44,0.471891855629615,GN with sigma 0.2,Curve 8,Length 100
45,0.5733592764412312,Smooth,Curve 9,Length 100
46,0.695960312059824,GN with sigma 0.05,Curve 9,Length 100
47,0.5498707899069956,GN with sigma 0.1,Curve 9,Length 100
48,0.6037569886378791,GN with sigma 0.15,Curve 9,Length 100
49,0.5115261860442595,GN with sigma 0.2,Curve 9,Length 100
50,0.2108184224097616,Smooth,Curve 10,Length 100
51,0.7768198905286537,GN with sigma 0.05,Curve 10,Length 100
52,0.4236971456223215,GN with sigma 0.1,Curve 10,Length 100
53,0.5683022447128103,GN with sigma 0.15,Curve 10,Length 100
54,0.4544621529051676,GN with sigma 0.2,Curve 10,Length 100
55,0.5946344389433512,Smooth,Curve 11,Length 100
56,0.7674293421535124,GN with sigma 0.05,Curve 11,Length 100
57,0.5601156519150734,GN with sigma 0.1,Curve 11,Length 100
58,0.6130276089225211,GN with sigma 0.15,Curve 11,Length 100
59,0.5937798758933216,GN with sigma 0.2,Curve 11,Length 100
60,0.3922506542720084,Smooth,Curve 12,Length 100
61,0.614803940411633,GN with sigma 0.05,Curve 12,Length 100
62,0.5899119013279853,GN with sigma 0.1,Curve 12,Length 100
63,0.5380824594663739,GN with sigma 0.15,Curve 12,Length 100
64,0.3007597757995055,GN with sigma 0.2,Curve 12,Length 100
65,0.5701844024153799,Smooth,Curve 13,Length 100
66,0.8746613237830324,GN with sigma 0.05,Curve 13,Length 100
67,0.6798982174033548,GN with sigma 0.1,Curve 13,Length 100
68,0.5941054287286999,GN with sigma 0.15,Curve 13,Length 100
69,0.579012756723727,GN with sigma 0.2,Curve 13,Length 100
70,0.8049170966188672,Smooth,Curve 14,Length 100
71,0.849576420509559,GN with sigma 0.05,Curve 14,Length 100
72,0.8026905295454613,GN with sigma 0.1,Curve 14,Length 100
73,0.6979268092576829,GN with sigma 0.15,Curve 14,Length 100
74,0.7819934142590944,GN with sigma 0.2,Curve 14,Length 100
75,0.5928079878739795,Smooth,Curve 15,Length 100
76,0.8313378740756534,GN with sigma 0.05,Curve 15,Length 100
77,0.7685913794695736,GN with sigma 0.1,Curve 15,Length 100
78,0.5500902290027059,GN with sigma 0.15,Curve 15,Length 100
79,0.5859121653509983,GN with sigma 0.2,Curve 15,Length 100
80,0.4567600421714278,Smooth,Curve 16,Length 100
81,0.6132098948061349,GN with sigma 0.05,Curve 16,Length 100
82,0.7208528271147008,GN with sigma 0.1,Curve 16,Length 100
83,0.6972775515851269,GN with sigma 0.15,Curve 16,Length 100
84,0.3675330520397356,GN with sigma 0.2,Curve 16,Length 100
85,0.4326422605128538,Smooth,Curve 17,Length 100
86,0.6412131081213313,GN with sigma 0.05,Curve 17,Length 100
87,0.6231954576512767,GN with sigma 0.1,Curve 17,Length 100
88,0.4409441493298385,GN with sigma 0.15,Curve 17,Length 100
89,0.4743282232230061,GN with sigma 0.2,Curve 17,Length 100
90,0.348026417003053,Smooth,Curve 18,Length 100
91,0.6673497174287597,GN with sigma 0.05,Curve 18,Length 100
92,0.7590477596551298,GN with sigma 0.1,Curve 18,Length 100
93,0.5176474783907339,GN with sigma 0.15,Curve 18,Length 100
94,0.313729344314653,GN with sigma 0.2,Curve 18,Length 100
95,0.4378698925487367,Smooth,Curve 19,Length 100
96,0.7138773038318292,GN with sigma 0.05,Curve 19,Length 100
97,0.5615777003518989,GN with sigma 0.1,Curve 19,Length 100
98,0.5387849310368786,GN with sigma 0.15,Curve 19,Length 100
99,0.3519824119936732,GN with sigma 0.2,Curve 19,Length 100
100,0.6698999046603479,Smooth,Curve 20,Length 100
101,0.6924057718331463,GN with sigma 0.05,Curve 20,Length 100
102,0.7845227050837672,GN with sigma 0.1,Curve 20,Length 100
103,0.4528215479863104,GN with sigma 0.15,Curve 20,Length 100
104,0.5149963174935028,GN with sigma 0.2,Curve 20,Length 100
105,0.5631720732288078,Smooth,Curve 21,Length 100
106,0.6945863465721407,GN with sigma 0.05,Curve 21,Length 100
107,0.5831546040622957,GN with sigma 0.1,Curve 21,Length 100
108,0.5607031955849783,GN with sigma 0.15,Curve 21,Length 100
109,0.3585640647205074,GN with sigma 0.2,Curve 21,Length 100
110,0.2355528258860526,Smooth,Curve 22,Length 100
111,0.8566184271734961,GN with sigma 0.05,Curve 22,Length 100
112,0.6012158206959899,GN with sigma 0.1,Curve 22,Length 100
113,0.3321649758906688,GN with sigma 0.15,Curve 22,Length 100
114,0.432520020836,GN with sigma 0.2,Curve 22,Length 100
115,0.7735551225063865,Smooth,Curve 23,Length 100
116,0.9030805028076536,GN with sigma 0.05,Curve 23,Length 100
117,0.7106255127828685,GN with sigma 0.1,Curve 23,Length 100
118,0.6872773300706035,GN with sigma 0.15,Curve 23,Length 100
119,0.5402970768531666,GN with sigma 0.2,Curve 23,Length 100
120,0.405107399212489,Smooth,Curve 24,Length 100
121,0.7175270272858474,GN with sigma 0.05,Curve 24,Length 100
122,0.3314880531676186,GN with sigma 0.1,Curve 24,Length 100
123,0.3055653488448757,GN with sigma 0.15,Curve 24,Length 100
124,0.4858543214256766,GN with sigma 0.2,Curve 24,Length 100
125,0.4705535309048904,Smooth,Curve 25,Length 100
126,0.917332144664877,GN with sigma 0.05,Curve 25,Length 100
127,0.5746612410081849,GN with sigma 0.1,Curve 25,Length 100
128,0.6688987276792995,GN with sigma 0.15,Curve 25,Length 100
129,0.6146141194058872,GN with sigma 0.2,Curve 25,Length 100
130,0.5763698144762011,Smooth,Curve 26,Length 100
131,0.743947965602186,GN with sigma 0.05,Curve 26,Length 100
132,0.6805742673507009,GN with sigma 0.1,Curve 26,Length 100
133,0.6752804274081062,GN with sigma 0.15,Curve 26,Length 100
134,0.4623912470901313,GN with sigma 0.2,Curve 26,Length 100
135,0.6371221383503202,Smooth,Curve 27,Length 100
136,0.8292700002278185,GN with sigma 0.05,Curve 27,Length 100
137,0.7708181287230322,GN with sigma 0.1,Curve 27,Length 100
138,0.6733767410307211,GN with sigma 0.15,Curve 27,Length 100
139,0.5677274483490238,GN with sigma 0.2,Curve 27,Length 100
140,0.4817467610592987,Smooth,Curve 28,Length 100
141,0.8032663931148392,GN with sigma 0.05,Curve 28,Length 100
142,0.6170000566805031,GN with sigma 0.1,Curve 28,Length 100
143,0.5951622576127733,GN with sigma 0.15,Curve 28,Length 100
144,0.2489813846484582,GN with sigma 0.2,Curve 28,Length 100
145,0.4042686167269388,Smooth,Curve 29,Length 100
146,0.6743085631806458,GN with sigma 0.05,Curve 29,Length 100
147,0.5015177128090057,GN with sigma 0.1,Curve 29,Length 100
148,0.481087127513672,GN with sigma 0.15,Curve 29,Length 100
149,0.5245768522405618,GN with sigma 0.2,Curve 29,Length 100
150,0.6501405404218552,Smooth,Curve 30,Length 100
151,0.8314613398941881,GN with sigma 0.05,Curve 30,Length 100
152,0.6862758559695272,GN with sigma 0.1,Curve 30,Length 100
153,0.4161945645913158,GN with sigma 0.15,Curve 30,Length 100
154,0.272835820555926,GN with sigma 0.2,Curve 30,Length 100
155,0.6819548263437366,Smooth,Curve 31,Length 100
156,0.6804390662645601,GN with sigma 0.05,Curve 31,Length 100
157,0.647217231542065,GN with sigma 0.1,Curve 31,Length 100
158,0.5749401824283078,GN with sigma 0.15,Curve 31,Length 100
159,0.6106615137421928,GN with sigma 0.2,Curve 31,Length 100
160,0.7267509393209305,Smooth,Curve 32,Length 100
161,0.6677717666417937,GN with sigma 0.05,Curve 32,Length 100
162,0.6461373518858445,GN with sigma 0.1,Curve 32,Length 100
163,0.3715800105516472,GN with sigma 0.15,Curve 32,Length 100
164,0.1906134226685094,GN with sigma 0.2,Curve 32,Length 100
165,0.5265135766872296,Smooth,Curve 33,Length 100
166,0.5617104760592785,GN with sigma 0.05,Curve 33,Length 100
167,0.6390954894718328,GN with sigma 0.1,Curve 33,Length 100
168,0.5988420137467769,GN with sigma 0.15,Curve 33,Length 100
169,0.3695970629095304,GN with sigma 0.2,Curve 33,Length 100
170,0.5506502323765926,Smooth,Curve 34,Length 100
171,0.8364391702873042,GN with sigma 0.05,Curve 34,Length 100
172,0.6506638764053444,GN with sigma 0.1,Curve 34,Length 100
173,0.6512150080811735,GN with sigma 0.15,Curve 34,Length 100
174,0.5682011876149614,GN with sigma 0.2,Curve 34,Length 100
