id,x,y,z
6,-7.56881847,4.86628967,-3.3162436
6,-7.58482015,4.66097336,-3.59067586
6,-7.61188827,4.39529217,-3.89822985
6,-7.77574961,4.10046933,-4.13165594
6,-8.40207533,3.8575633,-4.05838489
6,-8.81590775,3.97548104,-3.71018775
6,-8.39530377,4.5474503,-3.27114878
7,5.69777369,-5.86531471,2.5459629
7,5.92078258,-5.91353192,2.29482542
7,5.39872396,-6.08058289,2.17714415
7,5.21789147,-6.19796266,1.94387784
7,4.63575209,-6.14962823,2.41029527
7,4.62805696,-6.09847722,2.54044245
7,4.5713882,-6.27842284,2.087345
7,4.79122556,-6.21990874,2.13863852
7,4.44626616,-6.30337025,2.07971218
7,4.76280215,-6.31639695,1.85258157
7,4.47901228,-6.42534974,1.64301337
7,4.35573399,-6.43994042,1.66855108
7,4.48941704,-6.48089244,1.399756
7,4.39892128,-6.48486119,1.4522218
7,3.99069797,-6.50695254,1.63650575
7,3.82014971,-6.46124689,1.89839476
7,4.19125937,-6.29505272,2.23173642
7,4.36642162,-6.32859216,2.04511901
7,3.65629502,-6.37836981,2.23030833
7,3.90402596,-6.35758316,2.18421191
8,10.79991329,-2.76375148,-3.49315702
8,10.65845084,-2.74818324,-3.6120417
8,9.93861015,-3.28168196,-3.67920788
8,10.09545057,-3.51019283,-3.34649304
8,9.77390616,-3.43941208,-3.6452893
8,10.00260075,-3.45478159,-3.47152398
8,10.05400723,-3.34893266,-3.53749696
8,10.05730952,-3.4427819,-3.44381824
8,9.88196002,-3.51362727,-3.49873405
8,9.60871827,-3.39358676,-3.79495747
8,9.43694328,-3.31464877,-3.96851722
8,8.99875666,-3.57759761,-3.99454503
8,8.89458754,-3.73046707,-3.91218526
8,8.57878319,-4.02515835,-3.79463042
8,8.61202113,-4.10701094,-3.68656129
8,8.72121109,-4.20373436,-3.50909343
8,8.73660628,-4.32686062,-3.34607304
8,8.34338251,-4.45386415,-3.42929821
8,8.0146347,-4.62989383,-3.39197446
8,7.72935692,-4.37361171,-3.86468382
9,-11.45410919,4.01868197,0.22592229
9,-11.53399282,3.96136274,0.22216585
9,-11.55972972,3.93249897,0.35862809
9,-11.6137777,3.9025227,0.22440699
9,-12.04688742,3.46610846,0.83917701
9,-12.13052417,3.42109625,0.71322947
9,-12.15313239,3.45575429,0.36483637
9,-12.35720437,3.27112523,0.35300823
