Sat Dec 30 02:22:02 PM AEDT 2023
# hypergraphs = ["../Model_0/H/", "../Model_1/H/", "../Model_2/H/", "../Model_3/H/", "../Model_4/H/"]
# load_model = nothing
# 0W = false
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# 0V = true
# nFilters2 = 32
# pre = nothing
# pred = pred_0V.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_0/nodeCents/", "../Model_1/nodeCents/", "../Model_2/nodeCents/", "../Model_3/nodeCents/", "../Model_4/nodeCents/"]
# cv = true
# epochs = 500
# save_model = models/model_0V.bson
# sample = nothing
# 0H = false
# Reading label 1 from 993 hypergraphs matching:
# ../Model_0/H/
# ../Model_0/nodeCents/
# Reading label 2 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 3 from 977 hypergraphs matching:
# ../Model_2/H/
# ../Model_2/nodeCents/
# Reading label 4 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
# Reading label 5 from 1017 hypergraphs matching:
# ../Model_4/H/
# ../Model_4/nodeCents/
# num label 1 = 993
# num label 2 = 989
# num label 3 = 977
# num label 4 = 970
# num label 5 = 1017
# test=1, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.6311329603	0.2054655870	0.5156980460	0.5111877043	2023-12-30T14:24:13.587
10	0.9791556001	0.5937921727	0.8651681514	[1m0.8263644515[0m	2023-12-30T14:28:52.575
20	0.8174455762	0.6629554656	0.9049578939	[1m0.8430027573[0m	2023-12-30T14:31:52.309
30	0.7270984650	0.7085020243	0.9311843606	[1m0.8438525235[0m	2023-12-30T14:34:53.963
40	0.6419134736	0.7405533063	0.9490556472	0.8437145687	2023-12-30T14:37:57.307
50	0.5425789952	0.7995951417	0.9658448088	0.8424744701	2023-12-30T14:41:01.600
60	0.4398261607	0.8529014845	0.9776338289	0.8377898092	2023-12-30T14:44:07.017
70	0.3783218563	0.8758434548	0.9847930220	0.8350857789	2023-12-30T14:47:13.291
80	0.2955906987	0.9220647773	0.9926500123	0.8345453566	2023-12-30T14:50:20.249
90	0.2824522555	0.9021592443	0.9951876615	0.8289167021	2023-12-30T14:53:27.825
100	0.1648798287	0.9716599190	0.9988762445	0.8282618340	2023-12-30T14:56:36.234
110	0.1821741313	0.9537786775	0.9989325986	0.8272382632	2023-12-30T14:59:45.363
120	0.0901318043	0.9902159244	0.9998488834	0.8267742169	2023-12-30T15:02:55.223
130	0.0746389627	0.9962887989	0.9999825436	0.8229808228	2023-12-30T15:06:05.424
eval AUC = 0.8541060541023224
eval Acc = 0.5640766902119072
# test=1, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
