Thu Sep  1 16:52:46 AEST 2022
# hypergraphs = ["../Model_1/H/", "../Model_2/H/", "../Model_3/H/"]
# load_model = nothing
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# nFilters2 = 32
# pre = nothing
# pred = pred_123.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_1/nodeCents/", "../Model_2/nodeCents/", "../Model_3/nodeCents/"]
# cv = true
# epochs = 500
# save_model = model_123.bson
# sample = nothing
# Reading label 1 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 2 from 977 hypergraphs matching:
# ../Model_2/H/
# ../Model_2/nodeCents/
# Reading label 3 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
eval AUC = 0.9223281083844529
eval Acc = 0.7840136054421769
# test=1, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1062802076	0.3299319728	0.7098984058	0.6949189855	2022-09-01T18:28:56.081
10	0.4647686183	0.8038548753	0.9425542927	[1m0.9174131890[0m	2022-09-01T18:30:36.641
20	0.3140689135	0.8798185941	0.9682662713	[1m0.9257596010[0m	2022-09-01T18:32:17.366
30	0.2402247190	0.9104308390	0.9839922461	[1m0.9278844178[0m	2022-09-01T18:33:57.881
40	0.1820867956	0.9467120181	0.9926262441	[1m0.9284204478[0m	2022-09-01T18:35:38.409
50	0.1387507468	0.9535147392	0.9971041451	0.9272046716	2022-09-01T18:37:19.143
60	0.0892374888	0.9875283447	0.9992847134	0.9249991641	2022-09-01T18:38:59.829
70	0.0547833443	0.9943310658	0.9999348187	0.9229520346	2022-09-01T18:40:40.249
80	0.0331116989	0.9994331066	0.9999995155	0.9221855535	2022-09-01T18:42:20.812
90	0.0242366400	1.0000000000	1.0000000000	0.9203481739	2022-09-01T18:44:01.164
100	0.0131260427	0.9994331066	1.0000000000	0.9215874816	2022-09-01T18:45:41.567
110	0.0070710592	1.0000000000	1.0000000000	0.9212744790	2022-09-01T18:47:21.871
120	0.0043725902	1.0000000000	1.0000000000	0.9206460307	2022-09-01T18:49:02.397
130	0.0022314780	1.0000000000	1.0000000000	0.9196502155	2022-09-01T18:50:42.817
140	0.0019089420	1.0000000000	1.0000000000	0.9199049803	2022-09-01T18:52:24.134
eval AUC = 0.9378041266785347
eval Acc = 0.8458904109589042
# test=2, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0970038176	0.3164772727	0.5752459705	0.6105535117	2022-09-01T18:54:07.847
10	0.4291813672	0.8170454545	0.9399896900	[1m0.9104442762[0m	2022-09-01T18:55:47.635
20	0.3162738085	0.8727272727	0.9677208577	[1m0.9256221266[0m	2022-09-01T18:57:27.243
30	0.2581278682	0.8954545455	0.9795964943	0.9254115725	2022-09-01T18:59:06.741
40	0.2190571874	0.9107954545	0.9876073441	[1m0.9258170722[0m	2022-09-01T19:00:46.590
50	0.1537372917	0.9613636364	0.9960376059	[1m0.9297244999[0m	2022-09-01T19:02:26.889
60	0.0964083448	0.9812500000	0.9988834963	[1m0.9308126920[0m	2022-09-01T19:04:06.619
70	0.0625976399	0.9937500000	0.9997012937	[1m0.9314720390[0m	2022-09-01T19:05:46.305
80	0.0477646105	0.9977272727	0.9999133497	0.9293656850	2022-09-01T19:07:26.049
90	0.0268678237	0.9994318182	0.9999917757	0.9307837675	2022-09-01T19:09:05.843
100	0.0198342018	1.0000000000	1.0000000000	0.9291062459	2022-09-01T19:10:46.123
110	0.0096477084	1.0000000000	1.0000000000	0.9301030586	2022-09-01T19:12:26.321
120	0.0068592452	1.0000000000	1.0000000000	0.9288056040	2022-09-01T19:14:06.541
130	0.0037688776	1.0000000000	1.0000000000	0.9295474451	2022-09-01T19:15:46.931
140	0.0030711778	1.0000000000	1.0000000000	0.9294565222	2022-09-01T19:17:27.401
150	0.0014124645	1.0000000000	1.0000000000	0.9293253405	2022-09-01T19:19:07.405
160	0.0012854297	1.0000000000	1.0000000000	0.9289552399	2022-09-01T19:20:47.853
170	0.0006504517	1.0000000000	1.0000000000	0.9293405683	2022-09-01T19:22:28.127
eval AUC = 0.9288824643426196
eval Acc = 0.7908163265306123
# test=2, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1081777811	0.3312500000	0.4342542566	0.4660954548	2022-09-01T19:24:11.206
10	0.4186268151	0.8204545455	0.9414940897	[1m0.9094722157[0m	2022-09-01T19:25:51.344
20	0.3343222737	0.8642045455	0.9669542954	[1m0.9198133705[0m	2022-09-01T19:27:31.652
30	0.2464108169	0.9113636364	0.9828855753	[1m0.9241385447[0m	2022-09-01T19:29:11.938
40	0.2021248490	0.9181818182	0.9917058609	[1m0.9258547532[0m	2022-09-01T19:30:52.444
50	0.1381762922	0.9670454545	0.9970564149	[1m0.9263607883[0m	2022-09-01T19:32:33.014
60	0.1027038544	0.9727272727	0.9990767584	[1m0.9273461786[0m	2022-09-01T19:34:13.716
70	0.0693536699	0.9886363636	0.9998821815	[1m0.9279515890[0m	2022-09-01T19:35:54.458
80	0.0344586335	0.9965909091	0.9999956486	0.9275640130	2022-09-01T19:37:35.176
90	0.0211894326	1.0000000000	1.0000000000	0.9264389996	2022-09-01T19:39:16.239
100	0.0138555244	1.0000000000	1.0000000000	0.9276776612	2022-09-01T19:40:57.427
110	0.0086895181	1.0000000000	1.0000000000	0.9272907371	2022-09-01T19:42:38.717
120	0.0051925736	1.0000000000	1.0000000000	0.9267638078	2022-09-01T19:44:19.860
130	0.0032274404	1.0000000000	1.0000000000	0.9275709446	2022-09-01T19:46:01.082
140	0.0020138018	1.0000000000	1.0000000000	0.9277868044	2022-09-01T19:47:42.307
150	0.0015076866	1.0000000000	1.0000000000	0.9278224410	2022-09-01T19:49:24.191
160	0.0008265263	1.0000000000	1.0000000000	0.9278009670	2022-09-01T19:51:05.956
170	0.0006619047	1.0000000000	1.0000000000	[1m0.9281027839[0m	2022-09-01T19:52:47.802
180	0.0003152023	1.0000000000	1.0000000000	[1m0.9282340125[0m	2022-09-01T19:54:29.360
190	0.0001943007	1.0000000000	1.0000000000	0.9278104443	2022-09-01T19:56:11.107
200	0.0001828603	1.0000000000	1.0000000000	0.9274177596	2022-09-01T19:57:52.489
210	0.0001003424	1.0000000000	1.0000000000	0.9279220229	2022-09-01T19:59:33.955
220	0.0000478682	1.0000000000	1.0000000000	0.9281381343	2022-09-01T20:01:15.625
230	0.0002258633	1.0000000000	1.0000000000	[1m0.9291402663[0m	2022-09-01T20:02:56.859
240	0.0001681789	1.0000000000	1.0000000000	0.9289536630	2022-09-01T20:04:25.474
250	0.0001309879	1.0000000000	1.0000000000	0.9286759141	2022-09-01T20:05:51.651
260	0.0001072816	1.0000000000	1.0000000000	0.9286738899	2022-09-01T20:07:18.567
270	0.0000880631	1.0000000000	1.0000000000	0.9283611421	2022-09-01T20:08:45.265
280	0.0000731105	1.0000000000	1.0000000000	0.9280131423	2022-09-01T20:10:12.215
290	0.0000633451	1.0000000000	1.0000000000	0.9278268411	2022-09-01T20:11:39.490
300	0.0000546948	1.0000000000	1.0000000000	0.9279180464	2022-09-01T20:13:07.265
310	0.0000452774	1.0000000000	1.0000000000	0.9275985289	2022-09-01T20:14:35.096
320	0.0000334706	1.0000000000	1.0000000000	0.9276314635	2022-09-01T20:16:03.559
330	0.0000265320	1.0000000000	1.0000000000	0.9275964782	2022-09-01T20:17:31.873
eval AUC = 0.9370161851455808
eval Acc = 0.8061224489795918
# test=2, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1008160114	0.3323863636	0.5304108919	0.5461506663	2022-09-01T20:19:02.835
10	0.4240782559	0.8142045455	0.9450771682	[1m0.9139532583[0m	2022-09-01T20:20:31.672
20	0.3492744863	0.8471590909	0.9633130019	[1m0.9198901237[0m	2022-09-01T20:22:00.687
30	0.2917586565	0.8852272727	0.9804914797	[1m0.9248466617[0m	2022-09-01T20:23:30.061
40	0.2005234510	0.9267045455	0.9895630498	[1m0.9258372510[0m	2022-09-01T20:25:00.023
50	0.1469357759	0.9659090909	0.9958203930	[1m0.9263748978[0m	2022-09-01T20:26:30.168
60	0.1084355712	0.9721590909	0.9980653960	0.9257366316	2022-09-01T20:28:01.075
70	0.0698072538	0.9909090909	0.9995708602	0.9241504194	2022-09-01T20:29:32.069
80	0.0461990610	0.9943181818	0.9998411355	0.9251647810	2022-09-01T20:31:03.456
90	0.0289476961	0.9977272727	0.9999922606	0.9237904243	2022-09-01T20:32:34.879
100	0.0215284880	0.9971590909	1.0000000000	0.9234937006	2022-09-01T20:34:06.459
110	0.0184209030	0.9971590909	1.0000000000	0.9232493070	2022-09-01T20:35:37.764
120	0.0101797534	1.0000000000	1.0000000000	0.9226056193	2022-09-01T20:37:09.222
130	0.0059726643	1.0000000000	1.0000000000	0.9234118622	2022-09-01T20:38:40.788
140	0.0060088690	1.0000000000	1.0000000000	0.9236460108	2022-09-01T20:40:13.228
150	0.0034402483	1.0000000000	1.0000000000	0.9229327761	2022-09-01T20:41:45.668
eval AUC = 0.9264410838520716
eval Acc = 0.7857142857142857
# test=2, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1021296978	0.2171201814	0.4552757939	0.4711332601	2022-09-01T20:43:21.342
10	0.4064514339	0.8163265306	0.9452804525	[1m0.9083609598[0m	2022-09-01T20:44:54.567
20	0.3064044118	0.8747165533	0.9692984647	[1m0.9201092664[0m	2022-09-01T20:46:29.018
30	0.2771106958	0.8832199546	0.9834382549	[1m0.9229864223[0m	2022-09-01T20:48:03.228
40	0.2208744287	0.9115646259	0.9921427183	[1m0.9241866227[0m	2022-09-01T20:49:38.321
50	0.1461242437	0.9433106576	0.9974897476	0.9240898569	2022-09-01T20:51:14.626
60	0.0926935747	0.9716553288	0.9995327013	[1m0.9259154543[0m	2022-09-01T20:52:50.964
70	0.0543341674	0.9937641723	0.9999807469	0.9240095052	2022-09-01T20:54:25.867
80	0.0352761522	0.9977324263	0.9999971077	0.9255454544	2022-09-01T20:56:00.251
90	0.0153970802	1.0000000000	1.0000000000	0.9243504169	2022-09-01T20:57:34.984
100	0.0095786396	1.0000000000	1.0000000000	0.9238902907	2022-09-01T20:59:09.924
110	0.0075590941	1.0000000000	1.0000000000	0.9225770685	2022-09-01T21:00:45.488
120	0.0036230234	1.0000000000	1.0000000000	0.9224206067	2022-09-01T21:02:20.182
130	0.0042871465	1.0000000000	1.0000000000	0.9205541613	2022-09-01T21:03:55.439
140	0.0013731561	1.0000000000	1.0000000000	0.9226269700	2022-09-01T21:05:30.994
150	0.0007795398	1.0000000000	1.0000000000	0.9220584417	2022-09-01T21:07:06.745
160	0.0010818639	1.0000000000	1.0000000000	0.9217333410	2022-09-01T21:08:42.475
eval AUC = 0.9334167236064973
eval Acc = 0.815068493150685
# test=3, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1045268774	0.3369318182	0.5256073316	0.5238432428	2022-09-01T21:10:20.559
10	0.4077055454	0.8267045455	0.9445842355	[1m0.9352189053[0m	2022-09-01T21:11:55.221
20	0.3300716877	0.8613636364	0.9671551226	[1m0.9413570991[0m	2022-09-01T21:13:30.619
30	0.2444467247	0.8994318182	0.9821548338	[1m0.9422624939[0m	2022-09-01T21:15:06.203
40	0.1883509606	0.9392045455	0.9922197642	0.9380428760	2022-09-01T21:16:41.197
50	0.1378872395	0.9585227273	0.9967007006	0.9399145083	2022-09-01T21:18:17.456
60	0.0998723581	0.9738636364	0.9992706105	0.9352858032	2022-09-01T21:19:52.636
70	0.0776042864	0.9772727273	0.9997551274	0.9393103597	2022-09-01T21:21:28
80	0.0387212485	0.9994318182	0.9999937154	0.9386533770	2022-09-01T21:23:04.508
90	0.0241957139	0.9994318182	0.9999995151	0.9368957547	2022-09-01T21:24:40.543
100	0.0159624964	1.0000000000	1.0000000000	0.9389696696	2022-09-01T21:26:16.178
110	0.0101776598	1.0000000000	1.0000000000	0.9374103104	2022-09-01T21:27:51.718
120	0.0060914089	1.0000000000	1.0000000000	0.9378232578	2022-09-01T21:29:27.573
130	0.0041643525	1.0000000000	1.0000000000	0.9405203512	2022-09-01T21:31:03.702
eval AUC = 0.9317965762116317
eval Acc = 0.8078231292517006
# test=3, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1044003963	0.1698863636	0.5052298425	0.5260473555	2022-09-01T21:32:42.048
10	0.4071208537	0.8261363636	0.9461913286	[1m0.9340853328[0m	2022-09-01T21:34:18.148
20	0.3075476289	0.8698863636	0.9697906411	[1m0.9404095600[0m	2022-09-01T21:35:54.405
30	0.2558684349	0.8875000000	0.9845941567	[1m0.9451790495[0m	2022-09-01T21:37:30.940
40	0.1862801015	0.9420454545	0.9941532351	0.9447221806	2022-09-01T21:39:07.330
50	0.1221354082	0.9653409091	0.9980553731	0.9450829883	2022-09-01T21:40:43.965
60	0.0775664970	0.9869318182	0.9996449233	0.9443966048	2022-09-01T21:42:20.728
70	0.0628719553	0.9943181818	0.9997319540	0.9429243591	2022-09-01T21:43:57.525
80	0.0372180939	0.9954545455	0.9999975753	0.9431207130	2022-09-01T21:45:34.231
90	0.0194646399	0.9994318182	1.0000000000	0.9426658964	2022-09-01T21:47:10.525
100	0.0106098037	1.0000000000	1.0000000000	0.9422664555	2022-09-01T21:48:47.330
110	0.0063765734	1.0000000000	1.0000000000	0.9421751098	2022-09-01T21:50:24.158
120	0.0039658109	1.0000000000	1.0000000000	0.9425041838	2022-09-01T21:52:00.790
130	0.0024507514	1.0000000000	1.0000000000	0.9424213305	2022-09-01T21:53:37.430
eval AUC = 0.9271018303308214
eval Acc = 0.7959183673469388
# test=3, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1059192419	0.2948863636	0.3735234529	0.3865542857	2022-09-01T21:55:16.805
10	0.4451030493	0.8079545455	0.9455144983	[1m0.9351758595[0m	2022-09-01T21:56:53.444
20	0.3761795461	0.8465909091	0.9607733842	0.9318919141	2022-09-01T21:58:30.296
30	0.2658504248	0.9051136364	0.9815162172	0.9345730396	2022-09-01T22:00:07.414
40	0.1850391626	0.9488636364	0.9943017786	[1m0.9403448820[0m	2022-09-01T22:01:44.437
50	0.1640273035	0.9250000000	0.9971639850	0.9390213627	2022-09-01T22:03:22.012
60	0.0963334143	0.9784090909	0.9991326118	0.9392200368	2022-09-01T22:04:59.469
70	0.0510638058	0.9948863636	0.9998441114	0.9392470522	2022-09-01T22:06:37.192
80	0.0296499822	0.9982954545	0.9999917822	0.9398926851	2022-09-01T22:08:14.509
90	0.0243706349	0.9988636364	1.0000000000	0.9384155497	2022-09-01T22:09:52.039
100	0.0134627866	1.0000000000	1.0000000000	0.9380722801	2022-09-01T22:11:30.026
110	0.0065975795	1.0000000000	1.0000000000	0.9393035246	2022-09-01T22:13:07.967
120	0.0073884134	1.0000000000	1.0000000000	0.9382296853	2022-09-01T22:14:45.559
130	0.0036786653	1.0000000000	1.0000000000	0.9388926241	2022-09-01T22:16:23.499
140	0.0028274306	1.0000000000	1.0000000000	0.9391244604	2022-09-01T22:18:01.015
eval AUC = 0.9344097103413332
eval Acc = 0.7976190476190477
# test=3, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0953202248	0.3356009070	0.6603788316	0.6740113490	2022-09-01T22:19:41.488
10	0.4904933870	0.7868480726	0.9316391985	[1m0.9250521463[0m	2022-09-01T22:21:20.274
20	0.3447532654	0.8548752834	0.9628728148	[1m0.9306817184[0m	2022-09-01T22:22:59.134
30	0.2650997043	0.8883219955	0.9810119279	[1m0.9344156933[0m	2022-09-01T22:24:38.469
40	0.1969195902	0.9393424036	0.9911431443	0.9315854804	2022-09-01T22:26:17.607
50	0.1310949177	0.9665532880	0.9972903612	0.9337772321	2022-09-01T22:27:56.600
60	0.0885172337	0.9835600907	0.9988734597	0.9323344354	2022-09-01T22:29:36.080
70	0.0566795431	0.9943310658	0.9997487327	0.9323508030	2022-09-01T22:31:16.253
80	0.0420439094	0.9960317460	0.9999942225	0.9318697309	2022-09-01T22:32:56.216
90	0.0438416936	0.9948979592	0.9999995179	0.9304760984	2022-09-01T22:34:35.934
100	0.0142727634	1.0000000000	1.0000000000	0.9303067753	2022-09-01T22:36:15.512
110	0.0104261069	1.0000000000	1.0000000000	0.9302727289	2022-09-01T22:37:55.800
120	0.0052338513	1.0000000000	1.0000000000	0.9311954535	2022-09-01T22:39:36.126
130	0.0034428607	1.0000000000	1.0000000000	0.9308314158	2022-09-01T22:41:16.295
eval AUC = 0.9242830482464234
eval Acc = 0.7842465753424658
# test=4, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1004496813	0.3289772727	0.4673489749	0.4503579645	2022-09-01T22:42:58.667
10	0.4197043478	0.8261363636	0.9475770177	[1m0.9181945835[0m	2022-09-01T22:44:37.353
20	0.3290161192	0.8738636364	0.9692227601	[1m0.9280026839[0m	2022-09-01T22:46:16.098
30	0.2262884974	0.9323863636	0.9864549882	[1m0.9328786395[0m	2022-09-01T22:47:54.855
40	0.1681165248	0.9482954545	0.9937363263	0.9315097996	2022-09-01T22:49:33.537
50	0.1200731546	0.9761363636	0.9973472259	[1m0.9335811408[0m	2022-09-01T22:51:11.927
60	0.0880286917	0.9863636364	0.9991483638	0.9314855844	2022-09-01T22:52:50.711
70	0.0575205497	0.9920454545	0.9998022006	0.9312262981	2022-09-01T22:54:29.414
80	0.0350008830	0.9965909091	0.9999893477	0.9292491740	2022-09-01T22:56:07.885
90	0.0252012331	0.9988636364	1.0000000000	0.9301844600	2022-09-01T22:57:46.630
100	0.0151757477	1.0000000000	1.0000000000	0.9303662085	2022-09-01T22:59:25.402
110	0.0077678626	1.0000000000	1.0000000000	0.9299021979	2022-09-01T23:01:04.356
120	0.0051987297	1.0000000000	1.0000000000	0.9299402463	2022-09-01T23:02:43.317
130	0.0029197184	1.0000000000	1.0000000000	0.9292970989	2022-09-01T23:04:22.617
140	0.0018441614	1.0000000000	1.0000000000	0.9291853979	2022-09-01T23:06:01.785
150	0.0025020605	1.0000000000	1.0000000000	0.9284612668	2022-09-01T23:07:41.117
eval AUC = 0.9273486590187558
eval Acc = 0.7755102040816326
# test=4, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0979360342	0.2659090909	0.5105047747	0.5133182666	2022-09-01T23:09:23.012
10	0.4040576220	0.8323863636	0.9463096137	[1m0.9241256441[0m	2022-09-01T23:11:02.514
20	0.3182169795	0.8710227273	0.9686572063	[1m0.9328526698[0m	2022-09-01T23:12:42.396
30	0.3073641658	0.8676136364	0.9806795443	[1m0.9353298766[0m	2022-09-01T23:14:21.729
40	0.1980383843	0.9272727273	0.9902716777	[1m0.9369364357[0m	2022-09-01T23:16:01.077
50	0.1705685407	0.9267045455	0.9960281568	[1m0.9372503818[0m	2022-09-01T23:17:40.470
60	0.0970588997	0.9829545455	0.9986412334	0.9358364605	2022-09-01T23:19:19.698
70	0.0800328776	0.9852272727	0.9989125661	0.9330196985	2022-09-01T23:20:59.239
80	0.0489668511	0.9937500000	0.9999320799	0.9340457906	2022-09-01T23:22:38.667
90	0.0346497484	0.9965909091	0.9999970879	0.9355132987	2022-09-01T23:24:18.470
100	0.0204820372	1.0000000000	1.0000000000	0.9335706885	2022-09-01T23:25:58.121
110	0.0097478824	1.0000000000	1.0000000000	0.9354531018	2022-09-01T23:27:37.820
120	0.0072273375	1.0000000000	1.0000000000	0.9349736394	2022-09-01T23:29:17.559
130	0.0036930586	1.0000000000	1.0000000000	0.9352348624	2022-09-01T23:30:57.136
140	0.0021010879	1.0000000000	1.0000000000	0.9351611690	2022-09-01T23:32:36.805
150	0.0012833568	1.0000000000	1.0000000000	0.9356992149	2022-09-01T23:34:16.394
eval AUC = 0.9290781984552768
eval Acc = 0.7908163265306123
# test=4, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1004084349	0.3375000000	0.5255823233	0.5003854038	2022-09-01T23:35:58.902
10	0.4352830648	0.8147727273	0.9398632679	[1m0.9204095837[0m	2022-09-01T23:37:38.374
20	0.3067801297	0.8812500000	0.9715428967	[1m0.9336491843[0m	2022-09-01T23:39:18.224
30	0.2277456969	0.9170454545	0.9863771395	[1m0.9352430414[0m	2022-09-01T23:40:58.071
40	0.1988375634	0.9176136364	0.9926565146	0.9344356327	2022-09-01T23:42:37.815
50	0.1313231438	0.9590909091	0.9982389386	[1m0.9360075617[0m	2022-09-01T23:44:18.018
60	0.1106433421	0.9556818182	0.9990922288	0.9345958014	2022-09-01T23:45:58.240
70	0.0512963235	0.9965909091	0.9998960669	0.9336799256	2022-09-01T23:47:38.306
80	0.0419115573	0.9965909091	0.9997891276	0.9304013111	2022-09-01T23:49:18.525
90	0.0169482492	0.9988636364	1.0000000000	0.9327395890	2022-09-01T23:50:58.892
100	0.0119022951	1.0000000000	1.0000000000	0.9311977463	2022-09-01T23:52:38.848
110	0.0068195835	1.0000000000	1.0000000000	0.9318932387	2022-09-01T23:54:19.318
120	0.0042901468	1.0000000000	1.0000000000	0.9315066702	2022-09-01T23:55:59.716
130	0.0022592004	1.0000000000	1.0000000000	0.9307732679	2022-09-01T23:57:39.772
140	0.0014019500	1.0000000000	1.0000000000	0.9305706398	2022-09-01T23:59:20.204
150	0.0010239035	1.0000000000	1.0000000000	0.9304056608	2022-09-02T00:01:00.542
eval AUC = 0.9364921156689009
eval Acc = 0.8078231292517006
