# test=1, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
470	1.5987335443	0.3301068091	0.6301884041	0.6326456682	2024-06-28T01:13:08.706
480	1.5985141993	0.3274365821	0.6298221191	0.6322273343	2024-06-28T01:13:11.988
490	1.5982975960	0.3277703605	0.6297846944	0.6323420193	2024-06-28T01:13:15.290
500	1.5980783701	0.3321094793	0.6301737166	0.6326095394	2024-06-28T01:13:18.609
eval AUC = 0.6254356224131504
eval Acc = 0.3253493013972056
# test=1, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.6094346046	0.2032710280	0.4706457923	0.4819136856	2024-06-28T01:13:20.183
10	1.6091624498	0.2032710280	0.6321705818	[1m0.6345199246[0m	2024-06-28T01:13:22.896
20	1.6089271307	0.2032710280	0.6319323890	0.6341905354	2024-06-28T01:13:25.739
30	1.6086834669	0.2032710280	0.6318532561	0.6341020918	2024-06-28T01:13:28.688
40	1.6084425449	0.2032710280	0.6319312098	0.6342539905	2024-06-28T01:13:31.643
50	1.6082053185	0.2032710280	0.6318686203	0.6341564974	2024-06-28T01:13:34.632
60	1.6079696417	0.2032710280	0.6319080361	0.6342531502	2024-06-28T01:13:37.644
70	1.6077299118	0.2032710280	0.6319149565	0.6343235050	2024-06-28T01:13:40.691
80	1.6074959040	0.2032710280	0.6319241742	0.6344387988	2024-06-28T01:13:43.737
90	1.6072610617	0.2032710280	0.6318772452	0.6343752234	2024-06-28T01:13:46.776
100	1.6070365906	0.2032710280	0.6318530777	0.6343377837	2024-06-28T01:13:49.890
110	1.6067976952	0.2236315087	0.6318319702	0.6343913312	2024-06-28T01:13:52.986
eval AUC = 0.6246044827230616
eval Acc = 0.20359281437125748
# test=1, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.6094292402	0.1986027944	0.6348000534	0.6388079872	2024-06-28T01:13:56.444
10	1.6091352701	0.2035928144	0.6291028910	0.6323102651	2024-06-28T01:13:59.297
20	1.6089011431	0.2035928144	0.6296302976	0.6330080539	2024-06-28T01:14:02.274
30	1.6086556911	0.2035928144	0.6297702456	0.6332451968	2024-06-28T01:14:05.389
40	1.6084083319	0.2035928144	0.6298988676	0.6334198976	2024-06-28T01:14:08.533
50	1.6081749201	0.2035928144	0.6300275701	0.6335821226	2024-06-28T01:14:11.730
60	1.6079239845	0.2035928144	0.6300067157	0.6335516349	2024-06-28T01:14:15.020
70	1.6076883078	0.2035928144	0.6300903584	0.6336464163	2024-06-28T01:14:18.259
80	1.6074469090	0.2035928144	0.6301259860	0.6336932753	2024-06-28T01:14:21.554
90	1.6071962118	0.2035928144	0.6301205783	0.6337057794	2024-06-28T01:14:24.928
100	1.6069644690	0.2035928144	0.6301158157	0.6337039373	2024-06-28T01:14:28.262
eval AUC = 0.6384496021901371
eval Acc = 0.19858870967741934
# test=2, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.6094509363	0.1979305741	0.4689500097	0.4720831574	2024-06-28T01:14:31.811
10	1.6091761589	0.2032710280	0.6279268159	[1m0.6411622189[0m	2024-06-28T01:14:34.525
20	1.6089498997	0.2032710280	0.6276680679	0.6410220295	2024-06-28T01:14:37.341
30	1.6087032557	0.2032710280	0.6312293345	0.6360258957	2024-06-28T01:14:39.958
