# test=1, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
360	1.0888935328	0.5066518847	0.7443714711	0.7320378629	2024-06-28T01:30:07.574
370	1.0886267424	0.5315964523	0.7443723858	[1m0.7320419581[0m	2024-06-28T01:30:08.226
380	1.0883916616	0.5515521064	0.7443648012	0.7320378629	2024-06-28T01:30:08.877
390	1.0881062746	0.5399113082	0.7443763045	[1m0.7320460834[0m	2024-06-28T01:30:09.530
400	1.0878384113	0.5454545455	0.7443776799	[1m0.7320481310[0m	2024-06-28T01:30:10.239
410	1.0875771046	0.5471175166	0.7443783656	0.7320460834	2024-06-28T01:30:10.943
420	1.0873171091	0.5515521064	0.7443795159	0.7320460834	2024-06-28T01:30:11.597
430	1.0870602131	0.5576496674	0.7443792856	0.7320460834	2024-06-28T01:30:12.254
440	1.0867931843	0.5476718404	0.7443868812	[1m0.7320501786[0m	2024-06-28T01:30:12.941
450	1.0865350962	0.5543237251	0.7443852702	0.7320501786	2024-06-28T01:30:13.599
460	1.0862727165	0.5515521064	0.7443880328	0.7320501786	2024-06-28T01:30:14.255
470	1.0860161781	0.5476718404	0.7443951656	[1m0.7320584292[0m	2024-06-28T01:30:14.915
480	1.0857594013	0.5460088692	0.7444025238	[1m0.7320666498[0m	2024-06-28T01:30:15.601
490	1.0854961872	0.5476718404	0.7444018320	0.7320666498	2024-06-28T01:30:16.254
500	1.0852438211	0.5449002217	0.7444075818	[1m0.7320707751[0m	2024-06-28T01:30:16.910
eval AUC = 0.7407865270277605
eval Acc = 0.5522388059701493
# test=2, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0986087322	0.3388612493	0.4244993024	0.4344917973	2024-06-28T01:30:17.270
10	1.0982623100	0.3383084577	0.7460128858	[1m0.7329754460[0m	2024-06-28T01:30:17.891
20	1.0979943275	0.3383084577	0.7453268828	0.7324231813	2024-06-28T01:30:18.535
30	1.0977368355	0.3383084577	0.7451325050	0.7322458791	2024-06-28T01:30:19.184
40	1.0974540710	0.3383084577	0.7450521607	0.7321902463	2024-06-28T01:30:19.840
50	1.0971850157	0.3383084577	0.7449958534	0.7321407726	2024-06-28T01:30:20.524
60	1.0969191790	0.3383084577	0.7449567327	0.7321118941	2024-06-28T01:30:21.182
70	1.0966544151	0.3383084577	0.7449377453	0.7321098307	2024-06-28T01:30:21.843
80	1.0963764191	0.3383084577	0.7449194272	0.7321098465	2024-06-28T01:30:22.504
90	1.0961073637	0.3383084577	0.7449102681	0.7320913127	2024-06-28T01:30:23.191
100	1.0958461761	0.3383084577	0.7448965439	0.7320933904	2024-06-28T01:30:23.847
110	1.0955978632	0.3383084577	0.7448972279	0.7320954380	2024-06-28T01:30:24.501
eval AUC = 0.7402237102918838
eval Acc = 0.33612040133779264
# test=3, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0985940695	0.3375831486	0.6749759621	0.6533758575	2024-06-28T01:30:25.080
10	1.0982732773	0.3375831486	0.7382087744	[1m0.7545800801[0m	2024-06-28T01:30:25.691
20	1.0980027914	0.3375831486	0.7377092971	0.7539102194	2024-06-28T01:30:26.325
30	1.0977593660	0.3375831486	0.7375995036	0.7537660005	2024-06-28T01:30:26.997
40	1.0974851847	0.3375831486	0.7375313833	0.7536918353	2024-06-28T01:30:27.645
50	1.0972068310	0.3375831486	0.7374777601	0.7536506574	2024-06-28T01:30:28.290
60	1.0969471931	0.3375831486	0.7374536071	0.7536238881	2024-06-28T01:30:28.935
70	1.0966788530	0.3375831486	0.7374388779	0.7535991362	2024-06-28T01:30:29.579
80	1.0964230299	0.3375831486	0.7374179268	0.7535579590	2024-06-28T01:30:30.248
90	1.0961531401	0.3375831486	0.7374121905	0.7535518012	2024-06-28T01:30:30.912
100	1.0958980322	0.3375831486	0.7374135711	0.7535559422	2024-06-28T01:30:31.560
110	1.0956376791	0.3375831486	0.7374112823	0.7535538645	2024-06-28T01:30:32.207
eval AUC = 0.7417535475373426
eval Acc = 0.3383084577114428
# test=3, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0986351967	0.3292682927	0.3195706480	0.3458934550	2024-06-28T01:30:32.714
10	1.0983008146	0.3375831486	0.7398531762	[1m0.7532163831[0m	2024-06-28T01:30:33.337
20	1.0980255604	0.3375831486	0.7400286578	[1m0.7533366120[0m	2024-06-28T01:30:34.002
30	1.0977581739	0.3569844789	0.7400822968	[1m0.7533815676[0m	2024-06-28T01:30:34.650
40	1.0974745750	0.3375831486	0.7401167608	[1m0.7534329534[0m	2024-06-28T01:30:35.317
50	1.0972006321	0.3375831486	0.7401298230	0.7534225949	2024-06-28T01:30:36.003
60	1.0969359875	0.4013303769	0.7401357665	0.7534327878	2024-06-28T01:30:36.676
70	1.0966508389	0.3375831486	0.7401442562	[1m0.7534451185[0m	2024-06-28T01:30:37.370
80	1.0963981152	0.3414634146	0.7401470018	0.7534429957	2024-06-28T01:30:38.076
90	1.0961147547	0.3375831486	0.7401582713	[1m0.7534553716[0m	2024-06-28T01:30:38.732
100	1.0958389044	0.3375831486	0.7401550449	0.7534388704	2024-06-28T01:30:39.384
110	1.0955688953	0.3503325942	0.7401612472	0.7534388238	2024-06-28T01:30:40.038
120	1.0953050852	0.3375831486	0.7401642542	0.7534449817	2024-06-28T01:30:40.724
130	1.0950250626	0.3375831486	0.7401720543	0.7534553100	2024-06-28T01:30:41.381
140	1.0947563648	0.3375831486	0.7401727479	[1m0.7534594353[0m	2024-06-28T01:30:42.032
150	1.0944864750	0.3375831486	0.7401725093	0.7534470594	2024-06-28T01:30:42.682
160	1.0942108631	0.3447893570	0.7401757225	0.7534511396	2024-06-28T01:30:43.367
170	1.0939513445	0.3375831486	0.7401851423	[1m0.7534778788[0m	2024-06-28T01:30:44.021
180	1.0936782360	0.3608647450	0.7401826034	0.7534778788	2024-06-28T01:30:44.677
190	1.0934059620	0.5027716186	0.7401807595	0.7534634402	2024-06-28T01:30:45.326
200	1.0931320190	0.4257206208	0.7401846641	0.7534696282	2024-06-28T01:30:45.976
210	1.0928684473	0.5105321508	0.7401841982	0.7534634252	2024-06-28T01:30:46.657
220	1.0925949812	0.3702882483	0.7401883384	0.7534778788	2024-06-28T01:30:47.304
230	1.0923254490	0.4617516630	0.7401897200	[1m0.7534799114[0m	2024-06-28T01:30:47.960
240	1.0920593739	0.5155210643	0.7401887969	0.7534716758	2024-06-28T01:30:48.618
250	1.0917899609	0.4761640798	0.7401929455	0.7534798963	2024-06-28T01:30:49.276
260	1.0915251970	0.5415742794	0.7401901815	0.7534798963	2024-06-28T01:30:49.966
270	1.0912563801	0.5399113082	0.7401913305	0.7534757861	2024-06-28T01:30:50.623
280	1.0909972191	0.3852549889	0.7402030606	[1m0.7534840216[0m	2024-06-28T01:30:51.283
290	1.0907274485	0.5271618625	0.7401933960	0.7534778337	2024-06-28T01:30:51.947
300	1.0904655457	0.5554323725	0.7401927046	0.7534695673	2024-06-28T01:30:52.600
310	1.0901956558	0.4872505543	0.7402035134	0.7534778179	2024-06-28T01:30:53.285
320	1.0899276733	0.5221729490	0.7402021314	0.7534736919	2024-06-28T01:30:53.937
330	1.0896629095	0.5449002217	0.7401993644	0.7534736769	2024-06-28T01:30:54.593
340	1.0894025564	0.5554323725	0.7401977513	0.7534695516	2024-06-28T01:30:55.252
350	1.0891346931	0.5415742794	0.7402030418	0.7534757395	2024-06-28T01:30:55.910
360	1.0888719559	0.5415742794	0.7402048862	0.7534757395	2024-06-28T01:30:56.590
370	1.0886074305	0.5421286031	0.7402083394	0.7534757395	2024-06-28T01:30:57.246
380	1.0883456469	0.5227272727	0.7402129389	0.7534839901	2024-06-28T01:30:57.902
eval AUC = 0.7320689689983504
eval Acc = 0.3864013266998342
# test=3, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0986200571	0.3287139690	0.2626416615	0.2467974042	2024-06-28T01:30:58.327
10	1.0983074903	0.3337028825	0.7373486565	[1m0.7532914578[0m	2024-06-28T01:30:58.948
20	1.0980384350	0.3375831486	0.7374055266	[1m0.7533968605[0m	2024-06-28T01:30:59.591
30	1.0977498293	0.3375831486	0.7374113719	[1m0.7533970534[0m	2024-06-28T01:31:00.235
40	1.0974776745	0.3375831486	0.7374167177	[1m0.7533992235[0m	2024-06-28T01:31:00.884
50	1.0972177982	0.3375831486	0.7374093572	[1m0.7534137080[0m	2024-06-28T01:31:01.561
60	1.0969421864	0.3375831486	0.7374231822	[1m0.7534281766[0m	2024-06-28T01:31:02.208
70	1.0966752768	0.3375831486	0.7374240819	[1m0.7534343345[0m	2024-06-28T01:31:02.857
80	1.0964028835	0.3375831486	0.7374252397	[1m0.7534384598[0m	2024-06-28T01:31:03.504
90	1.0961581469	0.3431263858	0.7374155751	0.7534343653	2024-06-28T01:31:04.156
100	1.0958719254	0.3375831486	0.7374227254	[1m0.7534426310[0m	2024-06-28T01:31:04.837
110	1.0955998898	0.3375831486	0.7374238880	[1m0.7534447237[0m	2024-06-28T01:31:05.485
120	1.0953295231	0.3375831486	0.7374259561	0.7534426303	2024-06-28T01:31:06.141
130	1.0950664282	0.3375831486	0.7374277939	0.7534385358	2024-06-28T01:31:06.801
140	1.0947971344	0.3375831486	0.7374273403	0.7534426453	2024-06-28T01:31:07.465
150	1.0945475101	0.4972283814	0.7374197640	0.7534343797	2024-06-28T01:31:08.136
160	1.0942674875	0.3375831486	0.7374282805	0.7534446929	2024-06-28T01:31:08.814
170	1.0940155983	0.4356984479	0.7374229956	0.7534364423	2024-06-28T01:31:09.472
