Sat Aug 20 20:44:28 AEST 2022
# hypergraphs = ["../Model_1/H/", "../Model_3/H/", "../Model_4/H/"]
# load_model = nothing
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# nFilters2 = 32
# pre = nothing
# pred = pred_134.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_1/nodeCents/", "../Model_3/nodeCents/", "../Model_4/nodeCents/"]
# cv = true
# epochs = 500
# save_model = model_134.bson
# sample = nothing
# Reading label 1 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 2 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
# Reading label 3 from 1017 hypergraphs matching:
# ../Model_4/H/
# ../Model_4/nodeCents/
40	0.0562784858	0.9910514541	0.9992422972	[1m0.9765766174[0m	2022-08-20T22:23:57.906
50	0.0320489742	0.9944071588	0.9999460305	0.9760150295	2022-08-20T22:25:42.852
60	0.0180670843	0.9983221477	0.9999985988	0.9755359655	2022-08-20T22:27:28.031
70	0.0145443724	1.0000000000	1.0000000000	0.9746267658	2022-08-20T22:29:13.017
80	0.0050880238	1.0000000000	1.0000000000	0.9747310845	2022-08-20T22:30:58.647
90	0.0026320401	1.0000000000	1.0000000000	0.9747383337	2022-08-20T22:32:44.171
100	0.0015482190	1.0000000000	1.0000000000	0.9744410662	2022-08-20T22:34:29.635
110	0.0009891891	1.0000000000	1.0000000000	0.9740191989	2022-08-20T22:36:15.470
120	0.0005734451	1.0000000000	1.0000000000	0.9744478959	2022-08-20T22:38:01.027
130	0.0003657348	1.0000000000	1.0000000000	0.9743214550	2022-08-20T22:39:46.773
140	0.0006406606	1.0000000000	1.0000000000	0.9746661841	2022-08-20T22:41:32.717
eval AUC = 0.9876449296803331
eval Acc = 0.9172297297297297
# test=2, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1073105335	0.3413677130	0.4518145391	0.4484557534	2022-08-20T22:43:21.458
10	0.2366750091	0.9153587444	0.9832323866	[1m0.9834067978[0m	2022-08-20T22:45:07.709
20	0.1764705181	0.9366591928	0.9924414585	[1m0.9849509459[0m	2022-08-20T22:46:53.926
30	0.1072454154	0.9635650224	0.9969154257	[1m0.9857410757[0m	2022-08-20T22:48:40.177
40	0.0693272054	0.9831838565	0.9989169680	0.9856394804	2022-08-20T22:50:26.594
50	0.0993588045	0.9596412556	0.9996880013	0.9853429592	2022-08-20T22:52:12.877
60	0.0451223776	0.9865470852	0.9998214731	0.9855920734	2022-08-20T22:53:59.561
70	0.0203019381	1.0000000000	1.0000000000	0.9853681487	2022-08-20T22:55:45.970
80	0.0064922436	1.0000000000	1.0000000000	[1m0.9858065723[0m	2022-08-20T22:57:32.870
90	0.0031199271	1.0000000000	1.0000000000	0.9856735441	2022-08-20T22:59:19.409
