Sat Aug 20 20:44:28 AEST 2022
# hypergraphs = ["../Model_0/H/", "../Model_1/H/", "../Model_2/H/", "../Model_3/H/", "../Model_4/H/"]
# load_model = nothing
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# nFilters2 = 32
# pre = nothing
# pred = pred.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_0/nodeCents/", "../Model_1/nodeCents/", "../Model_2/nodeCents/", "../Model_3/nodeCents/", "../Model_4/nodeCents/"]
# cv = true
# epochs = 500
# save_model = model.bson
# sample = nothing
# Reading label 1 from 993 hypergraphs matching:
# ../Model_0/H/
# ../Model_0/nodeCents/
# Reading label 2 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 3 from 977 hypergraphs matching:
# ../Model_2/H/
# ../Model_2/nodeCents/
# Reading label 4 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
# Reading label 5 from 1017 hypergraphs matching:
# ../Model_4/H/
# ../Model_4/nodeCents/
# num label 1 = 993
# num label 2 = 989
# num label 3 = 977
# num label 4 = 970
# num label 5 = 1017
# test=1, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.6137243509	0.2007422402	0.5015901102	0.4956733111	2022-08-20T20:48:01.404
10	0.9291080236	0.6170715250	0.8747687540	[1m0.8269068499[0m	2022-08-20T20:58:17.256
20	0.7730965018	0.6815114710	0.9167156599	[1m0.8484635732[0m	2022-08-20T21:01:15.991
30	0.6776731014	0.7277327935	0.9429670208	[1m0.8504236565[0m	2022-08-20T21:04:19.922
40	0.5312256813	0.8063427800	0.9650656454	[1m0.8531479077[0m	2022-08-20T21:07:21.390
50	0.4375503957	0.8522267206	0.9784815908	0.8522171707	2022-08-20T21:10:21.476
60	0.3765279353	0.8677462888	0.9890994954	0.8491497411	2022-08-20T21:13:22.773
70	0.2604392469	0.9345479082	0.9949624967	0.8482376095	2022-08-20T21:16:25.147
80	0.2648595572	0.9109311741	0.9953284775	0.8414843557	2022-08-20T21:19:28.444
90	0.1375471056	0.9804318489	0.9993698955	0.8460292650	2022-08-20T21:22:33.365
100	0.1220334768	0.9848178138	0.9997986980	0.8470748894	2022-08-20T21:25:39.895
110	0.0696147010	0.9956140351	0.9999866220	0.8432688556	2022-08-20T21:28:46.478
120	0.0449058972	0.9989878543	0.9999908206	0.8433606211	2022-08-20T21:31:53.727
130	0.0425531752	0.9986504723	0.9999997162	0.8451544068	2022-08-20T21:35:01.320
140	0.0169203375	1.0000000000	1.0000000000	0.8433246668	2022-08-20T21:38:09.383
eval AUC = 0.870256547336836
eval Acc = 0.5963673057517659
# test=1, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.6144552231	0.2014170040	0.4865202241	0.5213585591	2022-08-20T21:41:22.929
10	0.9383659959	0.5961538462	0.8727950281	[1m0.8314326355[0m	2022-08-20T21:44:32.518
20	0.8296692371	0.6605937922	0.9023065121	[1m0.8355831237[0m	2022-08-20T21:47:43.567
30	0.7133516669	0.7159244265	0.9300436506	[1m0.8403023016[0m	2022-08-20T21:50:54.954
40	0.6235052943	0.7611336032	0.9479585375	0.8394225918	2022-08-20T21:54:06.233
50	0.5849624276	0.7780026991	0.9606218658	0.8352867185	2022-08-20T21:57:17.901
60	0.5020936728	0.8124156545	0.9707053934	0.8333843593	2022-08-20T22:00:29.916
70	0.4727071822	0.8286099865	0.9762937599	0.8314822740	2022-08-20T22:03:41.974
80	0.3385434747	0.8913630229	0.9892951154	0.8323250841	2022-08-20T22:06:54.079
90	0.2693642974	0.9224021592	0.9930872082	0.8314126447	2022-08-20T22:10:06.577
100	0.2258281857	0.9396086370	0.9964436043	0.8275010259	2022-08-20T22:13:19.439
110	0.2390228510	0.9085695007	0.9976441294	0.8271845420	2022-08-20T22:16:32.578
