,Size,Life Span,ROG,Type,Name,Label
6,5,0.5,1.2233329808182007,unbiased,unbiased_35,True
9,6,0.25,1.1196581790765006,unbiased,unbiased_35,True
7,11,0.6,1.2810321769389836,unbiased,unbiased_204,True
3,4,0.15,0.7905065182036018,unbiased,unbiased_341,True
5,7,0.55,0.9913400745717729,unbiased,unbiased_341,True
0,5,0.25,0.5605810448587845,unbiased,unbiased_62,True
2,10,0.75,1.457963508415854,unbiased,unbiased_62,True
1,13,0.9,2.227597617784118,unbiased,unbiased_63,True
4,4,0.25,0.670991796844273,unbiased,unbiased_63,True
5,12,0.65,1.8712492108665624,unbiased,unbiased_340,True
7,10,0.6,1.3442680554198065,unbiased,unbiased_34,True
1,12,0.95,1.833534883446993,unbiased,unbiased_252,True
13,5,0.2,1.034290296513012,unbiased,unbiased_317,True
10,9,0.45,0.8717278815760365,unbiased,unbiased_182,True
13,4,0.6,0.6241064896288411,unbiased,unbiased_301,True
10,5,0.2,0.6932982986426005,unbiased,unbiased_75,True
1,6,0.25,1.0970339723073759,unbiased,unbiased_213,True
14,5,0.2,0.5888611147018867,unbiased,unbiased_141,True
3,5,0.3,0.9621609373408402,unbiased,unbiased_287,True
4,11,0.9,1.1971773075002425,unbiased,unbiased_287,True
9,9,0.8,1.0147452169342548,unbiased,unbiased_59,True
7,7,0.5,0.9879554284160919,unbiased,unbiased_116,True
4,11,0.7,1.163563434113627,unbiased,unbiased_395,True
5,3,0.45,0.49202159953767566,unbiased,unbiased_395,True
0,9,0.65,1.3661266779373773,unbiased,unbiased_100,True
6,6,0.85,0.934849987116603,unbiased,unbiased_100,True
3,4,0.7,1.1113865881971439,unbiased,unbiased_383,True
6,8,0.5,1.0627873121712055,unbiased,unbiased_383,True
9,8,0.35,1.1503469692922974,unbiased,unbiased_229,True
4,7,0.3,1.0849174446481833,unbiased,unbiased_18,True
6,9,0.5,1.097893975645839,unbiased,unbiased_157,True
15,4,0.2,0.7050224044457425,unbiased,unbiased_291,True
0,14,0.85,2.380222452960404,unbiased,unbiased_209,True
3,3,0.1,0.37977273756206154,unbiased,unbiased_209,True
0,6,0.6,1.1589993239420415,unbiased,unbiased_120,True
1,3,0.1,0.6609482362951552,unbiased,unbiased_120,True
6,5,0.75,0.8917229283997978,unbiased,unbiased_120,True
8,5,0.3,0.7861243952423044,unbiased,unbiased_198,True
8,5,0.4,0.5381910095353666,unbiased,unbiased_38,True
2,18,0.85,2.797980615207956,unbiased,unbiased_248,True
11,7,0.4,0.9393223891623955,unbiased,unbiased_321,True
1,13,0.6,1.7364670694589501,unbiased,unbiased_264,True
0,8,0.95,1.319265638892538,unbiased,unbiased_376,True
1,8,0.35,0.7533384188788793,unbiased,unbiased_376,True
3,3,0.6,0.9318440130949436,unbiased,unbiased_376,True
5,8,0.45,0.659940914262946,unbiased,unbiased_399,True
0,5,0.45,0.6469393731566355,unbiased,unbiased_233,True
2,13,0.9,1.4655587266894912,unbiased,unbiased_233,True
2,6,0.9,0.9105703333478294,unbiased,unbiased_360,True
3,8,0.45,1.3744776201258841,unbiased,unbiased_360,True
2,5,0.2,0.8524337900339821,unbiased,unbiased_225,True
1,12,0.7,1.5513206179902568,unbiased,unbiased_43,True
4,6,0.75,0.7340605110040083,unbiased,unbiased_337,True
5,10,0.45,1.3163654738967678,unbiased,unbiased_337,True
8,12,0.55,1.9390635703830652,unbiased,unbiased_272,True
2,6,0.25,1.6342978818134921,unbiased,unbiased_14,True
3,12,0.55,2.0518445623606727,unbiased,unbiased_14,True
7,5,0.2,0.6028836144557674,unbiased,unbiased_296,True
13,5,0.3,0.7348497453801468,unbiased,unbiased_279,True
2,11,0.5,1.5796271239526742,unbiased,unbiased_150,True
3,7,0.85,1.184308009058554,unbiased,unbiased_150,True
8,5,0.45,0.6589621191937143,unbiased,unbiased_384,True
3,10,0.85,1.1733295471712903,unbiased,unbiased_48,True
5,7,0.3,0.7925333716772217,unbiased,unbiased_107,True
6,8,0.35,1.3485952607300313,unbiased,unbiased_107,True
9,9,0.65,1.392964801183443,unbiased,unbiased_7,True
7,11,0.65,1.2608862792109525,unbiased,unbiased_238,True
6,6,0.25,1.0390963980463392,unbiased,unbiased_392,True
1,8,0.55,0.9390540721600931,unbiased,unbiased_280,True
2,4,0.5,0.9004849377991833,unbiased,unbiased_146,True
3,6,0.85,1.0099910436679922,unbiased,unbiased_146,True
5,7,0.3,1.0123054156532478,unbiased,unbiased_146,True
2,6,0.9,0.9519624997738997,unbiased,unbiased_214,True
3,4,0.2,0.5811390988341368,unbiased,unbiased_214,True
4,8,0.65,1.0837510444990617,unbiased,unbiased_214,True
2,8,0.4,1.3033239684016582,unbiased,unbiased_351,True
3,8,0.4,1.0923181581609112,unbiased,unbiased_72,True
4,3,0.55,0.5803207974753907,unbiased,unbiased_72,True
0,8,0.6,1.2703700858664047,unbiased,unbiased_306,True
6,5,0.3,0.719530939100123,unbiased,unbiased_306,True
4,6,0.45,0.9575097618755691,unbiased,unbiased_185,True
9,5,0.25,0.6179546941472499,unbiased,unbiased_185,True
0,18,0.95,2.74815556911421,unbiased,unbiased_25,True
3,15,0.8,1.7677538024172113,unbiased,unbiased_310,True
6,5,0.3,0.6988858319789638,unbiased,unbiased_193,True
9,6,0.25,0.9602077247346993,unbiased,unbiased_193,True
1,13,0.9,1.4344346566170059,unbiased,unbiased_347,True
3,5,0.55,0.8274548436616864,unbiased,unbiased_347,True
2,14,0.95,2.113798418080207,unbiased,unbiased_64,True
6,6,0.4,0.8088561015032844,unbiased,unbiased_13,True
7,6,0.6,1.2042140548019853,unbiased,unbiased_13,True
2,6,0.35,0.6649331715262676,unbiased,unbiased_44,True
1,5,0.25,1.205609955891848,unbiased,unbiased_52,True
3,10,0.95,2.326808038784005,unbiased,unbiased_52,True
7,13,0.6,1.790559334418596,unbiased,unbiased_371,True
12,4,0.25,0.9874810934403127,unbiased,unbiased_234,True
0,6,0.45,0.6888211087811839,unbiased,unbiased_326,True
6,14,0.95,1.936608002563187,unbiased,unbiased_263,True
4,5,0.4,0.8009615990096274,unbiased,unbiased_91,True
11,4,0.35,0.4143144244269617,unbiased,unbiased_91,True
9,5,0.55,0.5658760039578716,unbiased,unbiased_131,True
10,4,0.2,0.6204615786142339,unbiased,unbiased_131,True
10,7,0.5,1.0372298254935899,unbiased,unbiased_218,True
2,9,0.75,1.0305086126264449,unbiased,unbiased_29,True
5,4,0.95,0.8900618437107094,unbiased,unbiased_29,True
2,7,0.35,1.5309161064776848,unbiased,unbiased_166,True
6,7,0.5,1.1885358683428806,unbiased,unbiased_166,True
9,5,0.5,0.7725165273607495,unbiased,unbiased_259,True
0,13,0.95,2.432222528949743,unbiased,unbiased_87,True
1,6,0.3,0.7748314234967337,unbiased,unbiased_87,True
8,10,0.55,1.3693782601728315,unbiased,unbiased_68,True
10,4,0.2,0.4456481135798305,unbiased,unbiased_86,True
2,5,0.2,0.9438871900064774,unbiased,unbiased_69,True
3,12,0.85,1.6997825715537127,unbiased,unbiased_69,True
1,6,0.45,1.046247442542174,unbiased,unbiased_258,True
8,8,0.35,1.2592239199789084,unbiased,unbiased_171,True
2,3,0.35,0.35024679757077304,unbiased,unbiased_188,True
6,5,0.3,0.885376043390939,unbiased,unbiased_188,True
10,4,0.3,0.4897517316655101,unbiased,unbiased_188,True
11,7,0.4,1.4588914058927187,unbiased,unbiased_167,True
2,11,0.65,1.375904272513119,unbiased,unbiased_130,True
3,5,0.9,0.8709585032227561,unbiased,unbiased_130,True
2,5,0.2,0.7174216742321597,unbiased,unbiased_327,True
7,4,0.4,0.9069856603557855,unbiased,unbiased_327,True
8,5,0.2,1.0221941193315554,unbiased,unbiased_327,True
9,11,0.5,1.628323032259681,unbiased,unbiased_223,True
3,5,0.2,0.5363574366888861,unbiased,unbiased_389,True
4,8,0.4,0.9790190014984281,unbiased,unbiased_45,True
3,5,0.2,0.8245772118751898,unbiased,unbiased_331,True
1,7,0.75,1.0696141941467867,unbiased,unbiased_274,True
6,5,0.75,0.9342340778550549,unbiased,unbiased_274,True
5,11,0.6,1.424327740699685,unbiased,unbiased_32,True
1,11,0.55,1.6254327519244511,unbiased,unbiased_254,True
3,6,0.25,1.1904708446834962,unbiased,unbiased_254,True
4,9,0.45,1.2526027889760047,unbiased,unbiased_311,True
12,5,0.3,0.4813310606695546,unbiased,unbiased_184,True
6,10,0.5,2.0137747363208924,unbiased,unbiased_242,True
4,6,0.3,0.9401902679549983,unbiased,unbiased_73,True
1,9,0.4,1.3895643024390067,unbiased,unbiased_215,True
6,5,0.2,0.6135452939206201,unbiased,unbiased_281,True
7,9,0.65,1.2559092732470392,unbiased,unbiased_281,True
5,13,0.65,1.6520713363227857,unbiased,unbiased_110,True
4,13,0.7,1.2275497211874864,unbiased,unbiased_6,True
16,4,0.15,0.5563531597492759,unbiased,unbiased_239,True
5,5,0.65,0.5703970696104806,unbiased,unbiased_49,True
7,9,0.5,0.9676335678087636,unbiased,unbiased_49,True
9,4,0.15,0.8386824180682078,unbiased,unbiased_66,True
2,7,0.65,0.9364338335564842,unbiased,unbiased_345,True
7,4,0.25,0.5370317081716744,unbiased,unbiased_345,True
1,6,0.25,0.8219030438552684,unbiased,unbiased_191,True
2,13,0.9,2.7971070240032496,unbiased,unbiased_191,True
2,10,0.5,1.8225789983143081,unbiased,unbiased_312,True
4,5,0.35,0.85459548369199,unbiased,unbiased_312,True
12,4,0.25,0.3831690208461918,unbiased,unbiased_257,True
14,4,0.2,0.9463986588030673,unbiased,unbiased_27,True
11,9,0.4,1.3962148803492866,unbiased,unbiased_168,True
8,5,0.4,0.4750386043031248,unbiased,unbiased_187,True
5,13,0.7,1.5851722013764526,unbiased,unbiased_304,True
4,7,0.35,1.4129374693553893,unbiased,unbiased_241,True
7,7,0.35,1.1238679983887017,unbiased,unbiased_241,True
5,13,0.7,1.3333903956271889,unbiased,unbiased_70,True
0,6,0.45,0.7229899672087736,unbiased,unbiased_353,True
4,4,0.15,0.7869648861425756,unbiased,unbiased_353,True
6,4,0.25,0.5547041513883919,unbiased,unbiased_353,True
6,4,0.15,0.487933113557128,unbiased,unbiased_216,True
1,4,0.2,0.4632331966171206,unbiased,unbiased_282,True
4,8,0.4,1.4257059691413336,unbiased,unbiased_328,True
5,8,0.7,0.9544628027822117,unbiased,unbiased_328,True
2,7,0.35,1.2757957507230264,unbiased,unbiased_113,True
3,8,0.5,1.1900069530383675,unbiased,unbiased_113,True
1,12,0.55,1.9458791946185126,unbiased,unbiased_390,True
8,8,0.7,1.1277093300344152,unbiased,unbiased_5,True
0,6,0.25,1.073355471909253,unbiased,unbiased_105,True
1,9,0.95,1.4247957434389864,unbiased,unbiased_105,True
3,4,0.15,0.436593345118317,unbiased,unbiased_105,True
6,6,0.5,0.9617426878315393,unbiased,unbiased_369,True
9,5,0.25,0.8627121727443376,unbiased,unbiased_369,True
4,4,0.2,1.342055862672527,unbiased,unbiased_294,True
5,3,0.55,0.9433561384585761,unbiased,unbiased_294,True
11,8,0.65,0.9687008545409068,unbiased,unbiased_172,True
7,6,0.25,1.407087560033932,unbiased,unbiased_308,True
0,8,0.4,1.1645365185409695,unbiased,unbiased_164,True
2,9,0.85,1.6396148524759377,unbiased,unbiased_164,True
0,5,0.55,0.5385650510563624,unbiased,unbiased_133,True
7,5,0.2,0.8666616809894648,unbiased,unbiased_93,True
9,4,0.15,0.4843103136095229,unbiased,unbiased_93,True
11,4,0.2,0.3767039431550477,unbiased,unbiased_261,True
3,5,0.4,0.9551234419223413,unbiased,unbiased_324,True
5,4,0.15,0.42933430717222504,unbiased,unbiased_324,True
3,16,0.9,2.5237135660895,unbiased,unbiased_148,True
10,6,0.25,1.1108441174904167,unbiased,unbiased_9,True
5,7,0.4,1.4566167719863112,unbiased,unbiased_220,True
6,7,0.4,0.9057152652077975,unbiased,unbiased_220,True
6,8,0.65,0.8392377188484293,unbiased,unbiased_46,True
6,14,0.75,1.889594974501567,unbiased,unbiased_277,True
6,4,0.15,0.5670374751157019,unbiased,unbiased_332,True
7,4,0.3,1.3644990864587159,unbiased,unbiased_299,True
10,4,0.2,1.030419995608612,unbiased,unbiased_299,True
3,17,0.8,2.0958513138811212,unbiased,unbiased_333,True
4,15,0.7,2.2954867301174264,unbiased,unbiased_47,True
12,7,0.65,0.7391619755195125,unbiased,unbiased_108,True
6,6,0.35,0.9701520156494519,unbiased,unbiased_221,True
7,7,0.45,0.9240990375844684,unbiased,unbiased_221,True
8,4,0.35,0.8621459027379398,unbiased,unbiased_364,True
12,4,0.4,1.1318390849128672,unbiased,unbiased_364,True
13,7,0.3,1.1656240214365516,unbiased,unbiased_51,True
8,11,0.55,1.4916693844488398,unbiased,unbiased_8,True
4,12,0.85,1.434739767849835,unbiased,unbiased_372,True
5,4,0.35,1.0081413765469993,unbiased,unbiased_372,True
12,6,0.25,1.144536489395777,unbiased,unbiased_260,True
11,4,0.25,0.5287793777597584,unbiased,unbiased_165,True
1,6,0.4,0.7645514722710892,unbiased,unbiased_309,True
5,10,0.65,1.1366122188133172,unbiased,unbiased_173,True
0,13,0.6,1.9306712034753735,unbiased,unbiased_124,True
2,5,0.2,1.117328817769228,unbiased,unbiased_124,True
5,4,0.25,0.7809735957260036,unbiased,unbiased_84,True
9,8,0.95,0.7854033365175173,unbiased,unbiased_84,True
5,8,0.4,1.1440667968966554,unbiased,unbiased_348,True
0,6,0.4,0.6351465363964627,unbiased,unbiased_295,True
7,6,0.4,1.2283350743274333,unbiased,unbiased_295,True
5,12,0.85,1.4281634339891818,unbiased,unbiased_153,True
0,12,0.65,1.7368816801063645,unbiased,unbiased_104,True
10,4,0.5,0.8009696670321822,unbiased,unbiased_391,True
14,5,0.35,0.9706652925039633,unbiased,unbiased_4,True
1,7,0.3,0.8587582589032735,unbiased,unbiased_283,True
2,10,0.45,1.806194376345462,unbiased,unbiased_283,True
1,4,0.2,0.5960707177085256,unbiased,unbiased_329,True
4,6,0.5,0.7409744605137819,unbiased,unbiased_145,True
5,9,0.95,1.0418826390280376,unbiased,unbiased_145,True
2,18,0.95,2.251439144607119,unbiased,unbiased_71,True
4,8,0.45,1.325868520036535,unbiased,unbiased_240,True
10,6,0.25,0.8877670944899617,unbiased,unbiased_26,True
11,4,0.15,1.0307553396104494,unbiased,unbiased_26,True
2,8,0.95,1.244156000501473,unbiased,unbiased_169,True
3,10,0.5,1.734871545851905,unbiased,unbiased_169,True
12,7,0.4,0.6163771780816241,unbiased,unbiased_186,True
2,10,0.45,1.7537686804844905,unbiased,unbiased_190,True
