,Overlap,Name,Type
0,0.7922077922077921,unbiased_336,unbiased
0,0.02857142857142857,unbiased_224,unbiased
0,0.42857142857142855,unbiased_377,unbiased
1,0.5818181818181818,unbiased_377,unbiased
2,0.5128205128205128,unbiased_377,unbiased
0,0.7301587301587302,unbiased_232,unbiased
0,0.004329004329004329,unbiased_199,unbiased
0,0.06363636363636363,unbiased_101,unbiased
0,1.0,unbiased_286,unbiased
0,0.002331002331002331,unbiased_140,unbiased
0,0.43512043512043513,unbiased_245,unbiased
0,0.07115384615384615,unbiased_195,unbiased
0,0.12554112554112554,unbiased_35,unbiased
0,0.006060606060606061,unbiased_341,unbiased
0,0.2544122544122544,unbiased_62,unbiased
0,0.13025210084033614,unbiased_63,unbiased
0,0.8269230769230771,unbiased_287,unbiased
0,0.06043956043956045,unbiased_395,unbiased
0,0.6889110889110889,unbiased_100,unbiased
0,0.21414141414141416,unbiased_383,unbiased
0,0.06764705882352941,unbiased_209,unbiased
0,0.07142857142857142,unbiased_120,unbiased
1,1.2857142857142856,unbiased_120,unbiased
2,0.75,unbiased_120,unbiased
0,3.0,unbiased_376,unbiased
1,2.763636363636364,unbiased_376,unbiased
2,1.490909090909091,unbiased_376,unbiased
0,0.04598506069094305,unbiased_233,unbiased
0,0.042624042624042624,unbiased_360,unbiased
0,1.0,unbiased_337,unbiased
0,0.00010773540185304891,unbiased_14,unbiased
0,0.1508924082453494,unbiased_150,unbiased
0,0.0003108003108003108,unbiased_107,unbiased
0,0.34285714285714286,unbiased_146,unbiased
1,3.0,unbiased_146,unbiased
2,0.15384615384615385,unbiased_146,unbiased
0,3.0,unbiased_214,unbiased
1,2.2637362637362637,unbiased_214,unbiased
2,3.0,unbiased_214,unbiased
0,0.496969696969697,unbiased_72,unbiased
0,0.006216006216006216,unbiased_306,unbiased
0,0.004329004329004329,unbiased_185,unbiased
0,0.004329004329004329,unbiased_193,unbiased
0,0.7749766573295984,unbiased_347,unbiased
0,0.015151515151515152,unbiased_13,unbiased
0,1.0,unbiased_52,unbiased
0,0.015873015873015872,unbiased_91,unbiased
0,0.7301587301587302,unbiased_131,unbiased
0,1.0,unbiased_29,unbiased
0,0.0005827505827505828,unbiased_166,unbiased
0,0.07150228512457615,unbiased_87,unbiased
0,0.6460892049127342,unbiased_69,unbiased
0,1.1785714285714286,unbiased_188,unbiased
1,0.17142857142857143,unbiased_188,unbiased
2,0.047619047619047616,unbiased_188,unbiased
0,0.06868131868131869,unbiased_130,unbiased
0,0.8571428571428571,unbiased_327,unbiased
1,0.023809523809523808,unbiased_327,unbiased
2,0.047619047619047616,unbiased_327,unbiased
0,0.030303030303030304,unbiased_274,unbiased
0,0.00016160310277957336,unbiased_254,unbiased
0,0.36363636363636365,unbiased_281,unbiased
