,Size,Life Span,ROG,Type,Name,Label
1,19,0.9,2.4781085522330373,unbiased,unbiased_15,True
3,5,0.5,0.9835478139688918,unbiased,unbiased_336,True
8,5,0.25,0.8921041806543296,unbiased,unbiased_336,True
2,7,0.3,1.1919338713638012,unbiased,unbiased_42,True
12,8,0.35,1.4024794213232874,unbiased,unbiased_361,True
2,4,0.15,0.8465233618713902,unbiased,unbiased_224,True
13,4,0.2,0.49514096936595503,unbiased,unbiased_224,True
1,4,0.6,0.9598295780344366,unbiased,unbiased_377,True
5,6,0.6,1.4177574057009779,unbiased,unbiased_377,True
7,3,0.6,1.123299507676508,unbiased,unbiased_377,True
4,11,0.75,1.6605892226720098,unbiased,unbiased_398,True
2,5,0.4,0.9036517286783274,unbiased,unbiased_232,True
7,4,0.15,0.809737484928178,unbiased,unbiased_232,True
6,4,0.5,0.9723298583931075,unbiased,unbiased_320,True
10,6,0.55,0.8134951863967272,unbiased,unbiased_320,True
5,5,0.2,1.0246009389257755,unbiased,unbiased_78,True
7,8,0.35,1.1901074832817586,unbiased,unbiased_137,True
13,6,0.25,0.9236921907001849,unbiased,unbiased_249,True
1,4,0.65,0.603059419647313,unbiased,unbiased_199,True
2,4,0.15,0.5846541566296292,unbiased,unbiased_199,True
3,5,0.2,0.8799745862687228,unbiased,unbiased_199,True
6,8,0.35,1.3253273487464028,unbiased,unbiased_81,True
3,5,0.2,0.9335179978854945,unbiased,unbiased_208,True
4,6,0.25,0.9735893330240201,unbiased,unbiased_290,True
6,6,0.25,0.9318502878367605,unbiased,unbiased_19,True
11,7,0.35,1.509162182569582,unbiased,unbiased_156,True
7,8,0.35,1.4223198830498116,unbiased,unbiased_382,True
3,6,0.85,1.4213665002222295,unbiased,unbiased_228,True
3,4,0.35,0.6565513646575233,unbiased,unbiased_101,True
6,9,0.6,1.131377677953631,unbiased,unbiased_101,True
8,5,0.5,0.6933806512238562,unbiased,unbiased_1,True
6,6,0.8,0.5771907084388597,unbiased,unbiased_58,True
5,4,0.35,0.7592196123609214,unbiased,unbiased_117,True
0,12,0.55,1.8109011526528582,unbiased,unbiased_286,True
4,4,0.9,0.46890643154294637,unbiased,unbiased_286,True
4,7,0.4,1.11659343518704,unbiased,unbiased_140,True
7,7,0.35,1.0674974870231688,unbiased,unbiased_140,True
11,5,0.2,0.9600889737085924,unbiased,unbiased_212,True
4,9,0.8,1.028996487742601,unbiased,unbiased_245,True
7,4,0.8,0.8119499230361364,unbiased,unbiased_245,True
9,5,0.4,0.8056986930023756,unbiased,unbiased_23,True
12,3,0.1,0.7764603456282764,unbiased,unbiased_23,True
4,13,0.7,1.7455469501649294,unbiased,unbiased_316,True
0,9,0.9,1.1036352807187175,unbiased,unbiased_195,True
1,5,0.25,0.797375105352617,unbiased,unbiased_195,True
5,5,0.5,1.2233329808182007,unbiased,unbiased_35,True
9,6,0.25,1.1196581790765006,unbiased,unbiased_35,True
7,11,0.6,1.2810321769389836,unbiased,unbiased_204,True
2,4,0.15,0.7905065182036018,unbiased,unbiased_341,True
7,7,0.55,0.9913400745717729,unbiased,unbiased_341,True
0,7,0.75,1.5066469292329825,unbiased,unbiased_62,True
1,4,0.2,0.4712315507902999,unbiased,unbiased_62,True
6,4,0.2,0.865443373495467,unbiased,unbiased_62,True
1,14,0.85,2.357629226571563,unbiased,unbiased_63,True
4,6,0.55,1.3527535673363251,unbiased,unbiased_340,True
8,6,0.25,1.0601162650152132,unbiased,unbiased_340,True
13,7,0.4,1.1876043674567025,unbiased,unbiased_34,True
